"ID","assignment","country","year"
"98-134","Asian SEA4","Philippines",1998
"98-206","Asian SEA4","Philippines",1998
"98-285","Asian SEA4","Philippines",1998
"98-286","Asian SEA4","Philippines",1998
"AB154208","Asian SEA1b","Indonesia",2001
"AB154209","Asian SEA1b","Indonesia",2001
"AB154210","Asian SEA1b","Indonesia",2001
"AB154211","Asian SEA1b","Indonesia",2002
"AB154212","Asian SEA1b","Indonesia",2001
"AB154213","Asian SEA1b","Indonesia",2001
"AB154214","Asian SEA1b","Indonesia",2001
"AB154215","Asian SEA1b","Indonesia",2001
"AB154216","Asian SEA1b","Indonesia",2003
"AB154217","Asian SEA1b","Indonesia",2002
"AB154218","Asian SEA1b","Indonesia",1997
"AB154220","Asian SEA1b","-",1997
"AB154221","Asian SEA1b","Indonesia",2000
"AB154222","Asian SEA1b","Indonesia",2003
"AB154223","Asian SEA1b","Indonesia",1997
"AB154224","Asian SEA1b","Indonesia",2002
"AB154225","Asian SEA1b","Indonesia",2000
"AB154226","Asian SEA1b","Indonesia",2000
"AB154227","Asian SEA1b","Indonesia",2000
"AB154228","Asian SEA1b","Indonesia",2001
"AB154229","Asian SEA1b","Indonesia",2002
"AB154230","Asian SEA1b","Indonesia",2002
"AB154231","Asian SEA1b","Indonesia",2002
"AB154232","Asian SEA1b","Indonesia",2002
"AB154233","Asian SEA1b","Indonesia",1997
"AB154234","Asian SEA1b","Indonesia",2000
"AB154235","Asian SEA1b","Indonesia",2000
"AB154237","Asian SEA1b","Indonesia",2001
"AB154238","Asian SEA1b","Indonesia",2001
"AB154239","Asian SEA1b","Indonesia",2001
"AB154240","Asian SEA1b","Indonesia",2002
"AB154241","Asian SEA1b","Indonesia",1997
"AB154242","Asian SEA1b","Indonesia",2001
"AB154243","Asian SEA1b","Indonesia",2002
"AB178892","Asian SEA3","Thailand",1985
"AB178893","Asian SEA3","Thailand",1985
"AB178894","Asian SEA3","Thailand",1985
"AB178895","Asian SEA3","Thailand",1977
"AB178896","Asian SEA3","Thailand",1963
"AB573762","Asian SEA4","Japan",2006
"AB573763","Asian SEA4","Japan",2006
"AB981663","Asian SEA3","Lao",2011
"AB981664","Asian SEA3","Lao",2011
"AB981665","Asian SEA3","Lao",2011
"AB981666","Asian SEA3","Lao",2011
"AB981667","Asian SEA3","Lao",2011
"AB981668","Asian SEA3","Lao",2011
"AB981669","Asian SEA3","Lao",2011
"AB981670","Asian SEA3","Lao",2011
"AB981671","Asian SEA3","Lao",2012
"AB981672","Asian SEA3","Lao",2012
"AB981673","Asian SEA3","Lao",2012
"AB981674","Asian SEA3","Lao",2012
"AB981675","Asian SEA3","Lao",2012
"AB981676","Asian SEA3","Lao",2012
"AB981677","Asian SEA3","Lao",2012
"AF367863","Asian SEA2a","-",1956
"AY218996","Asian SEA3","Thailand",2001
"AY218997","Asian SEA3","Thailand",2001
"AY218998","Asian SEA3","Thailand",2001
"AY218999","Asian SEA3","Thailand",2001
"AY219000","Asian SEA3","Thailand",2001
"AY219001","Asian SEA3","Thailand",2001
"AY219002","Asian SEA3","Thailand",2001
"DQ267925","Asian SEA3","Thailand",2006
"DQ496219","Asian SEA2a","China",2006
"DQ515993","Asian SEA1b","China",2006
"DQ666287","Asian SEA1b","China",2006
"DQ666290","Asian SEA2a","China",2006
"DQ666291","Asian SEA1b","China",2004
"DQ666294","Asian SEA1b","China",2004
