ID,assignment,country,year
AB206411,Cosmopolitan,Brazil,2005
AB284509,Cosmopolitan AF1b,Zambia,2000
AB284510,Cosmopolitan AF1b,Zambia,1999
AB284511,Cosmopolitan AF1b,Zambia,2000
AB284512,Cosmopolitan AF1b,Zambia,2005
AB284513,Cosmopolitan AF1b,Zambia,2005
AB284514,Cosmopolitan AF1b,Zambia,2004
AB284515,Cosmopolitan AF1b,Zambia,2000
AB284516,Cosmopolitan AF1b,Zambia,2001
AB285215,Cosmopolitan AF1b,Zambia,2000
AB362483,Cosmopolitan AM3b,Brazil,2009
AB517659,Cosmopolitan AM3a,Brazil,2012
AB517660,Cosmopolitan AM3b,Brazil,2012
AB570995,Cosmopolitan CA1,Mongolia,2005
AB570996,Cosmopolitan CA1,Mongolia,2006
AB570997,Cosmopolitan CA1,Mongolia,2006
AB570998,Cosmopolitan CA1,Mongolia,2006
AB570999,Cosmopolitan CA1,Mongolia,2006
AB571000,Cosmopolitan CA1,Mongolia,2008
AB571001,Cosmopolitan CA1,Mongolia,2006
AB571002,Cosmopolitan CA1,Mongolia,2006
AB571003,Cosmopolitan CA1,Mongolia,2008
AB571005,Cosmopolitan CA1,Mongolia,2008
AB571006,Cosmopolitan CA1,Mongolia,2008
AB571007,Cosmopolitan CA1,Mongolia,2008
AB571008,Cosmopolitan CA1,Mongolia,2006
AB571009,Cosmopolitan CA1,Mongolia,2006
AB571010,Cosmopolitan CA1,Mongolia,2006
AB571011,Cosmopolitan CA1,Mongolia,2008
AB571012,Cosmopolitan CA1,Mongolia,2007
AB571013,Cosmopolitan CA1,Mongolia,2005
AB571014,Cosmopolitan CA1,Mongolia,2005
AB571015,Cosmopolitan CA1,Mongolia,2005
AB571016,Cosmopolitan CA1,Mongolia,2005
AB571017,Cosmopolitan CA1,Mongolia,2005
AB571018,Cosmopolitan CA1,Mongolia,2005
AB645847,Cosmopolitan AM1,United States,2012
AB839169,Cosmopolitan,-,2013
AB839170,Cosmopolitan,-,2013
AF045664,Cosmopolitan,-,1998
AY352455,Cosmopolitan CA1,Russia,2004
AY352456,Cosmopolitan CA1,Russia,2004
AY352461,Cosmopolitan CA1,Russia,2004
AY352463,Cosmopolitan CA1,Russia,2004
AY352464,Cosmopolitan CA1,Russia,2004
AY352465,Cosmopolitan CA1,Russia,2004
AY352466,Cosmopolitan CA1,Russia,2004
AY352467,Cosmopolitan CA1,Russia,2004
AY352468,Cosmopolitan CA1,Russia,2004
AY352469,Cosmopolitan CA1,Russia,2004
AY352470,Cosmopolitan CA1,Russia,2004
AY352471,Cosmopolitan CA1,Russia,2004
AY352472,Cosmopolitan CA1,Russia,2004
AY352473,Cosmopolitan CA1,Russia,2004
AY352474,Cosmopolitan NEE,Russia,2004
AY352475,Cosmopolitan NEE,Russia,2004
AY352477,Cosmopolitan CA1,Russia,2004
AY352478,Cosmopolitan CA1,Russia,2004
AY352481,Cosmopolitan CA1,Russia,2004
AY352482,Cosmopolitan CA1,Russia,2004
AY352483,Cosmopolitan CA1,Russia,2004
AY352484,Cosmopolitan CA1,Russia,2004
