ID,assignment,country,year
AB569299,Indian-Sub,Sri Lanka,2008
AB638768,Indian-Sub,Sri Lanka,2008
AB638770,Indian-Sub,Sri Lanka,2009
AB638771,Indian-Sub,Sri Lanka,2009
AB817085,Indian-Sub,Sri Lanka,2009
AB817089,Indian-Sub,Sri Lanka,2009
AB817090,Indian-Sub,Sri Lanka,2009
AB817091,Indian-Sub,Sri Lanka,2009
EU086191,Indian-Sub,India,1997
JX944569,Indian-Sub,Nepal,2009
JX944595,Indian-Sub,Nepal,2008
JX944597,Indian-Sub,Nepal,2009
JX987737,Indian-Sub,Nepal,2003
JX987740,Indian-Sub,Nepal,2009
KU963505,Indian-Sub,India,2004
KU963507,Indian-Sub,India,1997
KX148108,Indian-Sub,Nepal,2011
KX148245,Indian-Sub,Nepal,2009
KX148246,Indian-Sub,India,1997
KX434506,Indian-Sub,India,2005
KX434507,Indian-Sub,India,2005
KX434508,Indian-Sub,India,2005
LC110290,Indian-Sub,Sri Lanka,2011
LC110292,Indian-Sub,Sri Lanka,2012
LC110293,Indian-Sub,Sri Lanka,2010
LC110295,Indian-Sub,Sri Lanka,2011
LC110296,Indian-Sub,Sri Lanka,2011
LC110297,Indian-Sub,Sri Lanka,2010
LC110298,Indian-Sub,Sri Lanka,2010
LC110299,Indian-Sub,Sri Lanka,2010
LC110300,Indian-Sub,Sri Lanka,2011
LC110301,Indian-Sub,Sri Lanka,2010
LC110304,Indian-Sub,Sri Lanka,2010
LC110306,Indian-Sub,Sri Lanka,2009
LC110308,Indian-Sub,Sri Lanka,2012
MH258837,Indian-Sub,India,2014
MH258838,Indian-Sub,India,2014
MH258840,Indian-Sub,India,2014
MH258841,Indian-Sub,India,2014
MH671332,Indian-Sub,China,2017
MN534894,Indian-Sub,Nepal,2018
MT826966,Indian-Sub,India,2011
AB041964,Indian-Sub,Sri Lanka,2003
AB041965,Indian-Sub,Sri Lanka,2003
AB041966,Indian-Sub,Sri Lanka,2003
AB041967,Indian-Sub,Sri Lanka,2003
AB041968,Indian-Sub,Sri Lanka,2003
AB041969,Indian-Sub,Sri Lanka,2003
AB635373,Indian-Sub,Sri Lanka,2009
AB638767,Indian-Sub,Sri Lanka,2008
AB638769,Indian-Sub,Sri Lanka,2008
AB638772,Indian-Sub,Sri Lanka,2009
AB817080,Indian-Sub,Sri Lanka,2008
AB817081,Indian-Sub,Sri Lanka,2009
AB817082,Indian-Sub,Sri Lanka,2008
AB817083,Indian-Sub,Sri Lanka,2008
AB817084,Indian-Sub,Sri Lanka,2009
AB817086,Indian-Sub,Sri Lanka,2009
AB817087,Indian-Sub,Sri Lanka,2009
AB817088,Indian-Sub,Sri Lanka,2008
AB817092,Indian-Sub,Sri Lanka,2010
AB817093,Indian-Sub,Sri Lanka,2010
AB817094,Indian-Sub,Sri Lanka,2010
AB817095,Indian-Sub,Sri Lanka,2009
AB817096,Indian-Sub,Sri Lanka,2009
AB817097,Indian-Sub,Sri Lanka,2009
AB817098,Indian-Sub,Sri Lanka,2009
AY138549,Indian-Sub,Sri Lanka,2003
AY138550,Indian-Sub,Sri Lanka,2001
KF154999,Indian-Sub,United Kingdom,2008
KU963500,Indian-Sub,-,2001
LC110291,Indian-Sub,Sri Lanka,2012
LC110294,Indian-Sub,Sri Lanka,2011
LC110302,Indian-Sub,Sri Lanka,2012
LC110303,Indian-Sub,Sri Lanka,2012
LC110305,Indian-Sub,Sri Lanka,2009
LC110307,Indian-Sub,Sri Lanka,2010
LC110309,Indian-Sub,Sri Lanka,2012
LC110310,Indian-Sub,Sri Lanka,2012
LC110311,Indian-Sub,Sri Lanka,2012
LC110312,Indian-Sub,Sri Lanka,2012
LC110313,Indian-Sub,Sri Lanka,2012
LC110314,Indian-Sub,Sri Lanka,2012
LC110315,Indian-Sub,Sri Lanka,2012
LC110316,Indian-Sub,Sri Lanka,2012
LC110317,Indian-Sub,Sri Lanka,2012
LC110318,Indian-Sub,Sri Lanka,2012
LC110319,Indian-Sub,Sri Lanka,2012
LC110320,Indian-Sub,Sri Lanka,2012
LC110321,Indian-Sub,Sri Lanka,2012
