ID,assignment,country,year
AF483524,RAC-SK,United States,2002
EU345002,RAC-SK,United States,2008
EU345003,RAC-SK,United States,2008
EU345004,RAC-SK,United States,2008
FJ228483,RAC-SK,Mexico,2001
FJ228484,RAC-SK,Mexico,2002
FJ228485,RAC-SK,Mexico,1999
GU991837,RAC-SK,United States,1968
GU991838,RAC-SK,United States,2007
GU991839,RAC-SK,United States,2009
GU991840,RAC-SK,United States,2008
GU991841,RAC-SK,United States,2008
JQ513553,RAC-SK,Mexico,2002
JQ685901,RAC-SK,United States,2003
JQ685929,RAC-SK,Mexico,2009
JQ685938,RAC-SK,United States,2009
JQ685954,RAC-SK,Mexico,2007
JQ685968,RAC-SK,United States,2009
JX855962,RAC-SK,United States,2009
JX855963,RAC-SK,United States,2009
JX855964,RAC-SK,United States,2009
JX855965,RAC-SK,United States,2009
JX855966,RAC-SK,United States,2009
JX855967,RAC-SK,United States,2009
JX855968,RAC-SK,United States,2009
JX855969,RAC-SK,United States,2009
JX855970,RAC-SK,United States,2009
JX855971,RAC-SK,United States,2009
JX855972,RAC-SK,United States,2009
JX855973,RAC-SK,United States,2009
JX855974,RAC-SK,United States,2009
JX855975,RAC-SK,United States,2009
JX855976,RAC-SK,United States,2009
JX855977,RAC-SK,United States,2009
JX855978,RAC-SK,United States,2009
JX855979,RAC-SK,United States,2009
JX855980,RAC-SK,United States,2009
JX855981,RAC-SK,United States,2009
JX855982,RAC-SK,United States,2009
JX855983,RAC-SK,United States,2009
JX855984,RAC-SK,United States,2009
JX855985,RAC-SK,United States,2009
JX855986,RAC-SK,United States,2009
JX855987,RAC-SK,United States,2009
JX855988,RAC-SK,United States,2009
JX855989,RAC-SK,United States,2009
JX855990,RAC-SK,United States,2009
JX855991,RAC-SK,United States,2009
JX855992,RAC-SK,United States,2009
JX855993,RAC-SK,United States,2009
JX855995,RAC-SK,United States,2009
JX855999,RAC-SK,United States,2009
JX856000,RAC-SK,United States,2009
JX856001,RAC-SK,United States,2009
JX856002,RAC-SK,United States,2009
JX856003,RAC-SK,United States,2009
JX856004,RAC-SK,United States,2009
JX856005,RAC-SK,United States,2009
JX856006,RAC-SK,United States,2009
JX856007,RAC-SK,United States,2009
JX856008,RAC-SK,United States,2009
JX856009,RAC-SK,United States,2009
JX856010,RAC-SK,United States,2009
JX856011,RAC-SK,United States,2009
JX856012,RAC-SK,United States,2009
JX856013,RAC-SK,United States,2009
JX856014,RAC-SK,United States,2009
JX856015,RAC-SK,United States,2009
JX856016,RAC-SK,United States,2009
JX856017,RAC-SK,United States,2009
JX856018,RAC-SK,United States,2009
JX856019,RAC-SK,United States,2009
JX856020,RAC-SK,United States,2009
JX856021,RAC-SK,United States,2009
JX856022,RAC-SK,United States,2009
JX856023,RAC-SK,United States,2009
JX856024,RAC-SK,United States,2009
JX856025,RAC-SK,United States,2009
JX856026,RAC-SK,United States,2009
JX856032,RAC-SK,United States,2009
JX856033,RAC-SK,United States,2009
JX856034,RAC-SK,United States,2009
JX856035,RAC-SK,United States,2009
JX856036,RAC-SK,United States,2009
JX856037,RAC-SK,United States,2009
JX856038,RAC-SK,United States,2009
JX856039,RAC-SK,United States,2009
KC832859,RAC-SK,United States,2000
KC832860,RAC-SK,United States,1997
KC832861,RAC-SK,United States,2013
KC832862,RAC-SK,United States,2013
KU963501,RAC-SK,-,2016
KY026414,RAC-SK,United States,2013
KY026415,RAC-SK,Canada,2014
KY026416,RAC-SK,United States,1995
KY026417,RAC-SK,United States,1998
KY026419,RAC-SK,United States,2004
KY026420,RAC-SK,United States,2004
KY026421,RAC-SK,United States,2011
KY026424,RAC-SK,Canada,1999
KY026425,RAC-SK,Canada,1999
KY026426,RAC-SK,Canada,2000
KY026427,RAC-SK,Canada,2000
KY026430,RAC-SK,Canada,2000
KY026431,RAC-SK,Canada,2000
KY026432,RAC-SK,Canada,2000
KY026435,RAC-SK,Canada,2000
KY026436,RAC-SK,Canada,2000
KY026439,RAC-SK,Canada,2000
KY026440,RAC-SK,Canada,2000
KY026441,RAC-SK,Canada,2000
KY026442,RAC-SK,Canada,2000
KY026443,RAC-SK,Canada,2000
KY026444,RAC-SK,Canada,2001
KY026445,RAC-SK,Canada,2001
KY026446,RAC-SK,Canada,2001
KY026447,RAC-SK,Canada,2001
KY026448,RAC-SK,Canada,2001
KY026449,RAC-SK,Canada,2001
KY026450,RAC-SK,Canada,2001
KY026451,RAC-SK,Canada,2001
KY026452,RAC-SK,Canada,2001
KY026453,RAC-SK,Canada,2001
KY026454,RAC-SK,Canada,2001
KY026455,RAC-SK,Canada,2001
KY026456,RAC-SK,Canada,2001
KY026457,RAC-SK,Canada,2001
KY026458,RAC-SK,Canada,2001
KY026459,RAC-SK,Canada,2002
KY026460,RAC-SK,Canada,2002
KY026461,RAC-SK,Canada,2002
KY026462,RAC-SK,Canada,2002
KY026463,RAC-SK,Canada,2002
KY026464,RAC-SK,Canada,2003
KY026465,RAC-SK,Canada,2003
KY026466,RAC-SK,Canada,2003
KY026467,RAC-SK,Canada,2003
KY026468,RAC-SK,Canada,2003
KY026469,RAC-SK,Canada,2003
KY026470,RAC-SK,Canada,2003
KY026471,RAC-SK,Canada,2003
KY026472,RAC-SK,Canada,2003
KY026473,RAC-SK,Canada,2004
KY026474,RAC-SK,Canada,2004
KY026475,RAC-SK,Canada,2004
KY026476,RAC-SK,Canada,2004
KY026477,RAC-SK,Canada,2005
KY026478,RAC-SK,United States,2006
KY026479,RAC-SK,United States,2006
KY026480,RAC-SK,United States,2007
KY026481,RAC-SK,United States,2008
KY026482,RAC-SK,United States,2008
KY026483,RAC-SK,United States,2011
MF143191,RAC-SK,United States,2013
MF143192,RAC-SK,United States,2013
MF143193,RAC-SK,United States,2013
MF143194,RAC-SK,United States,2013
MF143195,RAC-SK,United States,2013
MF143196,RAC-SK,United States,2013
MF143197,RAC-SK,United States,2013
MF143198,RAC-SK,United States,2013
MF143199,RAC-SK,United States,2013
MF143200,RAC-SK,United States,2013
MF143201,RAC-SK,United States,2013
MF143202,RAC-SK,United States,2013
MF143203,RAC-SK,United States,2013
MF143204,RAC-SK,United States,2013
MF143205,RAC-SK,United States,2013
MF143206,RAC-SK,United States,2013
MF143207,RAC-SK,United States,2013
MF143208,RAC-SK,United States,2013
MF143209,RAC-SK,United States,2013
MF143210,RAC-SK,United States,2013
MF143211,RAC-SK,United States,2013
MF143212,RAC-SK,United States,2013
MF143213,RAC-SK,United States,2014
MF143214,RAC-SK,United States,2014
MF143215,RAC-SK,United States,2014
MF143216,RAC-SK,United States,2014
MF143217,RAC-SK,United States,2014
MF143218,RAC-SK,United States,2014
MF143219,RAC-SK,United States,2014
MF143220,RAC-SK,United States,2014
MF143221,RAC-SK,United States,2014
MF143222,RAC-SK,United States,2014
MF143223,RAC-SK,Canada,2000
MF143224,RAC-SK,Canada,2000
MF143225,RAC-SK,Canada,2000
MF143226,RAC-SK,Canada,2000
MF143227,RAC-SK,Canada,2000
MF143228,RAC-SK,Canada,2001
MF143229,RAC-SK,Canada,2001
MF143230,RAC-SK,Canada,2001
MF143231,RAC-SK,Canada,2001
MF143232,RAC-SK,Canada,2001
MF143233,RAC-SK,Canada,2001
MF143234,RAC-SK,Canada,2002
MF143235,RAC-SK,Canada,2014
MF143236,RAC-SK,Canada,2015
MF143237,RAC-SK,Canada,2015
MF143238,RAC-SK,Canada,2015
MF143239,RAC-SK,Canada,2015
MF143240,RAC-SK,Canada,2015
MF143241,RAC-SK,Canada,2015
MF143242,RAC-SK,Canada,2015
MF143243,RAC-SK,Canada,2015
MF143244,RAC-SK,Canada,2015
MF143245,RAC-SK,Canada,2015
MF143246,RAC-SK,Canada,2015
MF143247,RAC-SK,Canada,2015
MF143248,RAC-SK,Canada,2015
MF143249,RAC-SK,Canada,2015
MF143250,RAC-SK,Canada,2015
MF143251,RAC-SK,Canada,2015
MF143252,RAC-SK,Canada,2015
MF143253,RAC-SK,Canada,2015
