ID,country,year,assignment
PP965343,Peru,2021,
PP965344,Peru,2021,
PP965345,Peru,2022,
PP965346,Peru,2021,
PP965347,Peru,2022,
PP965348,Peru,2015,
PP965349,Peru,2021,
PP965350,Peru,2021,
PP965351,Peru,2021,
PP965352,Peru,2017,
PP965353,Peru,2021,
PP965354,Peru,2021,
PP965355,Peru,2010,
PP965356,Peru,2021,
PP965357,Peru,2021,
PP965358,Peru,2021,
PP965359,Peru,2021,
PP965360,Peru,2019,
PP965361,Peru,2022,
PP965362,Peru,2019,
PP965363,Peru,2021,
PP965364,Peru,2021,
PP965365,Peru,2022,
PP965366,Peru,2021,
PP965367,Peru,2018,
PP965368,Peru,2022,
PP965369,Peru,2022,
PP965370,Peru,2021,
PP965371,Peru,2022,
PP965372,Peru,2021,
PP965373,Peru,2011,
PP965374,Peru,2021,
