ID,country,year,assignment
RV2486,Serengeti,2008,Cosmopolitan AF1b
RV2488,Serengeti,2008,Cosmopolitan AF1b
RV2932,Same,2007,Cosmopolitan AF1b
RV2934,,2007,Cosmopolitan AF1b
RV2937,,2007,Cosmopolitan AF1b
RV2946,,2009,Cosmopolitan AF1b
RV2948,,2009,Cosmopolitan AF1b
RV2949,,2009,Cosmopolitan AF1b
RV3142,Serengeti,2012,Cosmopolitan AF1b
RAB12001,Wete,2012,Cosmopolitan AF1b
RAB12002,Wete,2012,Cosmopolitan AF1b
RAB12005,Micheweni,2012,Cosmopolitan AF1b
RAB12039,Wete,2011,Cosmopolitan AF1b
RAB16024,Wete,2016,Cosmopolitan AF1b
RAB16026,Wete,2016,Cosmopolitan AF1b
RAB16027,Chake Chake,2016,Cosmopolitan AF1b
RAB16028,Micheweni,2016,Cosmopolitan AF1b
RAB16029,Mkoani,2016,Cosmopolitan AF1b
RV3081,Tarime,2013,Cosmopolitan AF1b
RV3116,Serengeti,2012,Cosmopolitan AF1b
RV3197,Serengeti,2014,Cosmopolitan AF1b
RV3198,Serengeti,2014,Cosmopolitan AF1b
RV3227,Serengeti,2015,Cosmopolitan AF1b
RV3234,Serengeti,2015,Cosmopolitan AF1b
RV3240,Serengeti,2015,Cosmopolitan AF1b
RV3241,Serengeti,2015,Cosmopolitan AF1b
RV3245,Serengeti,2015,Cosmopolitan AF1b
RV3247,Serengeti,2015,Cosmopolitan AF1b
RV3248,Serengeti,2015,Cosmopolitan AF1b
RV3249,Serengeti,2015,Cosmopolitan AF1b
RV3250,Serengeti,2015,Cosmopolitan AF1b
RV3252,Serengeti,2015,Cosmopolitan AF1b
RV3253,Serengeti,2015,Cosmopolitan AF1b
RV3254,Serengeti,2015,Cosmopolitan AF1b
RV3256,Serengeti,2015,Cosmopolitan AF1b
RV3262,Serengeti,2015,Cosmopolitan AF1b
SD577,Serengeti,2015,Cosmopolitan AF1b
SUB7097,Serengeti,2016,Cosmopolitan AF1b
SUB7100,Serengeti,NA,Cosmopolitan AF1b
SUB7108,Serengeti,2015,Cosmopolitan AF1b
SUB7109,Serengeti,2015,Cosmopolitan AF1b
SUB7111,Serengeti,2015,Cosmopolitan AF1b
SUB7116,Serengeti,2015,Cosmopolitan AF1b
SUB7118,Serengeti,2015,Cosmopolitan AF1b
SUB7119,Serengeti,2015,Cosmopolitan AF1b
SUB7121,Serengeti,2015,Cosmopolitan AF1b
SUB7122,Serengeti,2016,Cosmopolitan AF1b
SUB7123,Serengeti,2015,Cosmopolitan AF1b
SUB7125,Serengeti,2015,Cosmopolitan AF1b
SUB7126,Serengeti,2015,Cosmopolitan AF1b
SUB7130,Serengeti,2015,Cosmopolitan AF1b
SUB7132,Serengeti,2015,Cosmopolitan AF1b
SUB7138,Serengeti,2015,Cosmopolitan AF1b
SUB7140,Serengeti,2015,Cosmopolitan AF1b
SUB7144,Serengeti,2016,Cosmopolitan AF1b
SUB7145,Serengeti,2016,Cosmopolitan AF1b
SD575,Serengeti,2016,Cosmopolitan AF1b
SD620,Serengeti,2016,Cosmopolitan AF1b
SD622,Serengeti,2016,Cosmopolitan AF1b
SD635,Serengeti,2016,Cosmopolitan AF1b
SD643,Serengeti,2017,Cosmopolitan AF1b
SD644,Serengeti,2017,Cosmopolitan AF1b
SD645,Serengeti,2016,Cosmopolitan AF1b
SD647,Serengeti,2016,Cosmopolitan AF1b
SD650,Serengeti,2016,Cosmopolitan AF1b
SD657,Serengeti,2017,Cosmopolitan AF1b
SD659,Serengeti,2017,Cosmopolitan AF1b
SD660,Serengeti,2017,Cosmopolitan AF1b
SD662,Serengeti,2017,Cosmopolitan AF1b
SD664,Serengeti,2017,Cosmopolitan AF1b
SD667,Serengeti,2017,Cosmopolitan AF1b
SD668,Serengeti,2017,Cosmopolitan AF1b
SD669,Serengeti,2016,Cosmopolitan AF1b
SD670,Serengeti,2017,Cosmopolitan AF1b
SD674,Butiama,2017,Cosmopolitan AF1b
SD678,Serengeti,2016,Cosmopolitan AF1b
SD679,Serengeti,2016,Cosmopolitan AF1b
SD680,Serengeti,2016,Cosmopolitan AF1b
SD703,Serengeti,2017,Cosmopolitan AF1b
SUB1637,Serengeti,2009,Cosmopolitan AF1b
SUB7101,Serengeti,2015,Cosmopolitan AF1b
SUB7105,Serengeti,2015,Cosmopolitan AF1b
SUB7113,Serengeti,2015,Cosmopolitan AF1b
SUB7127,Serengeti,2015,Cosmopolitan AF1b
SUB7128,Serengeti,2015,Cosmopolitan AF1b
SUB7143,Serengeti,2015,Cosmopolitan AF1b
SUB7146,Serengeti,2016,Cosmopolitan AF1b
