ID,assignment,country,year
KF155002,Cosmopolitan AF1b,Tanzania,2010
KR534217,Cosmopolitan AF1b,Tanzania,2008
KR534218,Cosmopolitan AF1b,Tanzania,2008
KR534219,Cosmopolitan AF1b,Tanzania,2007
KR534220,Cosmopolitan AF1b,Tanzania,2008
KR534228,Cosmopolitan AF1b,Tanzania,2010
KR534229,Cosmopolitan AF1b,Tanzania,2010
KR534230,Cosmopolitan AF1b,Tanzania,2010
KR534231,Cosmopolitan AF1b,Tanzania,2010
KR534232,Cosmopolitan AF1b,Tanzania,2011
KR534233,Cosmopolitan AF1b,Tanzania,2011
KR534234,Cosmopolitan AF1b,Tanzania,2011
KR534235,Cosmopolitan AF1b,Tanzania,2011
KR534236,Cosmopolitan AF1b,Tanzania,2011
KR534237,Cosmopolitan AF1b,Tanzania,2011
KR534238,Cosmopolitan AF1b,Tanzania,2011
KR534244,Cosmopolitan AF1b,Tanzania,2011
KR534245,Cosmopolitan AF1b,Tanzania,2011
KR534246,Cosmopolitan AF1b,Tanzania,2011
KR534247,Cosmopolitan AF1b,Tanzania,2011
KR534248,Cosmopolitan AF1b,Tanzania,2011
KR534249,Cosmopolitan AF1b,Tanzania,2011
KR534250,Cosmopolitan AF1b,Tanzania,2011
KR534251,Cosmopolitan AF1b,Tanzania,2011
KR534252,Cosmopolitan AF1b,Tanzania,2011
KR534253,Cosmopolitan AF1b,Tanzania,2011
KR534254,Cosmopolitan AF1b,Tanzania,2011
KR534256,Cosmopolitan AF1b,Tanzania,2011
KR906734,Cosmopolitan AF1b,Tanzania,2008
KR906735,Cosmopolitan AF1b,Tanzania,2008
KR906736,Cosmopolitan AF1b,Tanzania,2008
KR906737,Cosmopolitan AF1b,Tanzania,2008
KR906738,Cosmopolitan AF1b,Tanzania,2004
KR906739,Cosmopolitan AF1b,Tanzania,2004
KR906740,Cosmopolitan AF1b,Tanzania,2009
KR906741,Cosmopolitan AF1b,Tanzania,2003
KR906742,Cosmopolitan AF1b,Tanzania,2009
KR906743,Cosmopolitan AF1b,Tanzania,2010
KR906744,Cosmopolitan AF1b,Tanzania,2010
KR906745,Cosmopolitan AF1b,Tanzania,2010
KR906746,Cosmopolitan AF1b,Tanzania,2010
KR906747,Cosmopolitan AF1b,Tanzania,2010
KR906748,Cosmopolitan AF1b,Tanzania,2010
KR906749,Cosmopolitan AF1b,Tanzania,2010
KR906750,Cosmopolitan AF1b,Tanzania,2010
KR906751,Cosmopolitan AF1b,Tanzania,2011
KR906752,Cosmopolitan AF1b,Tanzania,2011
KR906753,Cosmopolitan AF1b,Tanzania,2011
KR906754,Cosmopolitan AF1b,Tanzania,2011
KR906755,Cosmopolitan AF1b,Tanzania,2011
KR906756,Cosmopolitan AF1b,Tanzania,2011
KR906757,Cosmopolitan AF1b,Tanzania,2010
KR906758,Cosmopolitan AF1b,Tanzania,2010
