"cluster","country","year_first","year_last","max_distance","mean_distance","n_seqs"
"A1","Russia",2008,2014,0.1945516034,0.0869772127605523,3
"A1.1","c(""Cameroon"", ""Equatorial Guinea"", ""Gabon"", ""Nigeria"")",1986,2018,0.1945516034,0.0881209080641286,22
"A1.1.1","c(""Grenada"", ""Madagascar"")",1986,2012,0.1945516034,0.0890522759113741,6
"A1.2","Somalia",1993,1993,0.1945516034,0.0832659163092501,2
"A1.2.1","c(""Ethiopia"", ""Kenya"")",1987,2018,0.1945516034,0.0839993860234381,13
"A1.3","Tunisia",1986,2016,0.1689230914,0.0805413480747722,6
"A1.3.1","Tunisia",1986,2010,0.1413252981,0.0719305424047347,10
"AF1a_A1","Morocco",1986,2010,0.1616529522,0.0815280836306734,8
"AF1a_A1.1","c(""Morocco"", ""Spain"")",1985,2010,0.1616529522,0.0816347826594852,4
"AF1a_A1.1.1","Spain",1996,2010,0.1689230914,0.0803377081539174,3
"AF1a_A1.1.2","Spain",1993,2010,0.1945516034,0.102522496144167,7
"AF1a_A1.1.3","Morocco",1991,2010,0.1870316726,0.110361871010914,2
"AF1a_B1","character(0)",1995,2010,0.1891603578,0.0859921977332456,18
"AF1a_B1.1","character(0)",2010,2010,0.1891603578,0.0859696730171287,4
"AF1a_B1.1.1","character(0)",2010,2010,0.1891603578,0.0860243364789354,17
"AF1a_B1.2","character(0)",2010,2010,0.1413252981,0.0733544593316816,2
"AF1a_B1.2.1","character(0)",2010,2010,0.1689230914,0.0798063135125961,3
"AF1a_B1.3","character(0)",2010,2010,0.1489033764,0.0777394718161186,3
"AF1a_B1.3.1","character(0)",2010,2010,0.1489033764,0.0777589321441307,13
"AF1a_B1.4","c(""Morocco"", ""Spain"")",1993,2010,0.1689230914,0.0796379374042872,19
"AF1a_B1.5","character(0)",2010,2010,0.1616529522,0.0854024713888374,21
"AF1a_B1.6","character(0)",2010,2010,0.1689230914,0.0796125940252163,11
"AF1a_C1","Morocco",1990,2010,0.1945516034,0.109827273542401,4
"AF1a_C1.1","Morocco",2004,2010,0.159825197,0.0849340463174888,10
"AF1a_D1","Morocco",1991,2010,0.141319932,0.0748594844762055,4
"AF1a_D1.1","Morocco",2009,2010,0.1639529373,0.101808715660888,13
"AF1a_E1","character(0)",2010,2010,0.1576555886,0.0807318566600438,4
"AF1a_E1.1","character(0)",2010,2010,0.156833421,0.0803216581923559,15
"AF1a_F1","Algeria",2010,2015,0.1779562303,0.108605171024062,58
"AF1a_F1.1","character(0)",2010,2010,0.1554014707,0.0820000989382052,13
"AF1a_G1","character(0)",2010,2010,0.1519684613,0.0807767766127754,12
"AF1a_H1","c(""Algeria"", ""Tunisia"")",1986,2010,0.1945516034,0.106643380034055,15
"AF1a_I1","character(0)",2010,2010,0.1868389102,0.111031834365944,15
"AF1a_NA","character(0)",1995,2018,0.1405817415,0.0714547904490927,12
"AF1b_A1","Tanzania",1995,2011,0.1576555886,0.0809687057230323,3
"AF1b_A1.1","c(""Central African Republic"", ""Uganda"")",1992,2011,0.1576048161,0.0806239677716369,4
"AF1b_A1.1.1","c(""Central African Republic"", ""Democratic Republic of the Congo"", ""Zambia"")",1989,2011,0.176752702,0.107863581639516,138
"AF1b_B1","c(""Namibia"", ""South Africa"", ""Zimbabwe"")",1990,2016,0.1779562303,0.10847778146854,19
"AF1b_B1.1","c(""South Africa"", ""Tanzania"", ""Zimbabwe"")",1981,2017,0.1554014707,0.0818308651323041,16
"AF1b_B1.1.1","c(""Mozambique"", ""South Africa"")",1986,2012,0.159825197,0.0849513202155378,5
"AF1b_B1.2","South Africa",1991,2005,0.1405817415,0.0711008123173521,5
"AF1b_B1.2.1","c(""Namibia"", ""South Africa"")",1992,2017,0.1576555886,0.0808120789186007,12
"AF1b_C1","c(""Burundi"", ""Rwanda"", ""Tanzania"")",1990,2010,0.1487487561,0.0791819844330015,9
"AF1b_C1.1","Uganda",2009,2012,0.156833421,0.0820648429312937,3
"AF1b_C1.1.1","Tanzania",1998,2018,0.1560957643,0.0805607981783215,61
"AF1b_D1","c(""Kenya"", ""Tanzania"")",1994,2018,0.1724928589,0.106532425610649,79
"AF1b_D1.1","Tanzania",1997,2013,0.1701303642,0.107329558177307,10
"AF1b_E1","Tanzania",2004,2010,0.1554014707,0.0817713668109623,2
"AF1b_E1.1","Tanzania",2009,2017,0.159825197,0.0824440954459991,10
"AF1b_F1","Tanzania",2010,2013,0.1360837434,0.0704100048753134,42
"AF1b_G1","Tanzania",2010,2013,0.141319932,0.0748454727310581,21
"AF1b_H1","South Africa",2012,2017,0.1442748017,0.0769442913988162,12
"AF4_A1","c(""Egypt"", ""Israel"")",1950,2009,0.1576555886,0.080874462767219,13
"AM1_A1","United States",1984,2012,0.1523574127,0.0808879320203888,4
"AM1_A1.1","United States",1982,2012,0.1560957643,0.0805487952554866,3
"AM1_A1.1.1","c(""Canada"", ""United States"")",2000,2009,0.1629405598,0.0836493274027384,17
"AM2a_A1","c(""Colombia"", ""Cuba"", ""Mexico"")",1995,2014,0.1724928589,0.106514465339093,16
"AM2a_A1.1","Cuba",2000,2002,0.176752702,0.108263846173178,4
"AM2a_A1.1.1","Cuba",2000,2002,0.1870316726,0.119370972267411,6
"AM2a_A1.2","Cuba",2000,2002,0.1629586858,0.0990348503892613,11
"AM2a_B1","Cuba",2000,2002,0.1375731705,0.0713171804010335,13
"AM3a_A1","Brazil",1986,2007,0.1330982122,0.069922953576501,4
"AM3a_A1.1","Brazil",2006,2007,0.1331165067,0.0690457133775753,9
"AM3a_A1.1.1","Brazil",2007,2007,0.1420552009,0.0739769751055472,4
"AM3a_A1.1.2","Brazil",2007,2007,0.1431867513,0.0770160922276576,3
"AM3a_A1.2","Brazil",1995,2007,0.156833421,0.080269811090961,3
"AM3a_A1.2.1","Brazil",2002,2007,0.1560957643,0.0805507300417808,5
"AM3a_A1.3","c(""Brazil"", ""Peru"", ""United States"")",1999,2011,0.1596785318,0.0817210866595892,10
"AM3a_A1.4","Brazil",2006,2009,0.1629405598,0.0839279986612664,22
"AM3a_B1","Brazil",2002,2007,0.1724928589,0.106310501830875,7
"AM3a_B1.1","Brazil",2002,2007,0.1825458012,0.115257684464244,20
"AM3a_B1.1.1","Brazil",2002,2007,0.1693876432,0.107274528553654,10
"AM3a_C1","Brazil",2006,2012,0.1489033764,0.0789522091845876,13
"AM3a_D1","Brazil",2006,2012,0.1474835644,0.0772062404792568,10
"AM3b_A1","Brazil",2006,2007,0.1519684613,0.0808730239895713,7
