ID,country,year,assignment
OL451878,Argentina,1995,
OL451879,Argentina,1996,
OL451880,Argentina,1996,
OL451881,Argentina,2000,
OL451882,Argentina,2000,
OL451883,Argentina,2001,
OL451884,Argentina,2001,
OL451885,Argentina,2004,
OL451886,Argentina,2007,
OL451887,Argentina,2008,
OL451888,Argentina,2008,
OL451889,Argentina,2008,
OL451890,Argentina,2009,
OL451891,Argentina,2009,
OL451892,Argentina,2009,
OL451893,Argentina,2009,
OL451894,Argentina,2012,
OL451895,Argentina,2013,
OL451896,Argentina,2013,
OL451897,Argentina,2013,
OL451898,Argentina,2013,
OL451899,Argentina,2013,
OL451900,Argentina,2013,
OL451901,Argentina,2013,
OL451902,Argentina,2015,
OL451903,Argentina,2015,
OL451904,Argentina,2016,
OL451905,Argentina,2017,
OL451906,Argentina,2008,
OL451907,Paraguay,1992,
OL451908,Paraguay,1991,
OL451909,Argentina,2002,
OL451910,Argentina,1997,
OL451911,Argentina,2006,
OL451912,Argentina,2001,
OL451913,Argentina,2002,
OL451914,Argentina,2007,
OL451917,Argentina,2000,
OL451918,Argentina,1999,
OL451919,Argentina,1999,
OL451920,Argentina,1999,
OL451921,Argentina,2002,
OL451922,Argentina,2002,
OL451923,Argentina,2002,
OL451924,Argentina,2002,
OL451926,Argentina,2015,
OL451927,Argentina,2006,
OL451928,Argentina,2005,
OL451929,Argentina,2003,
OL451931,Argentina,2006,
PP965343,Peru,2021,
PP965344,Peru,2021,
PP965345,Peru,2022,
PP965346,Peru,2021,
PP965347,Peru,2022,
PP965348,Peru,2015,
PP965349,Peru,2021,
PP965350,Peru,2021,
PP965351,Peru,2021,
PP965352,Peru,2017,
PP965353,Peru,2021,
PP965354,Peru,2021,
PP965355,Peru,2010,
PP965356,Peru,2021,
PP965357,Peru,2021,
PP965358,Peru,2021,
PP965359,Peru,2021,
PP965360,Peru,2019,
PP965361,Peru,2022,
PP965362,Peru,2019,
PP965363,Peru,2021,
PP965364,Peru,2021,
PP965365,Peru,2022,
PP965366,Peru,2021,
PP965367,Peru,2018,
PP965368,Peru,2022,
PP965369,Peru,2022,
PP965370,Peru,2021,
PP965371,Peru,2022,
PP965372,Peru,2021,
PP965373,Peru,2011,
PP965374,Peru,2021,
