ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
AB206411,0,22,1354,1332,2005,Cosmopolitan AM3b_A1.2,Cosmopolitan,Brazil
AB284509,0,1,1354,1353,2000,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284510,0,1,1354,1353,1999,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284511,0,1,1354,1353,2000,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284512,0,1,1354,1353,2005,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284513,0,1,1354,1353,2005,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284514,0,1,1354,1353,2004,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284515,0,1,1354,1353,2000,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB284516,0,1,1354,1353,2001,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB285215,0,1,1354,1353,2000,Cosmopolitan_A1.2.1,Cosmopolitan AF1b,Zambia
AB362483,0,134,NA,NA,2009,Cosmopolitan_A1.3.2,Cosmopolitan AM3b,Brazil
AB517659,0,134,NA,NA,2012,Cosmopolitan_A1.3.2,Cosmopolitan AM3a,Brazil
AB517660,0,134,NA,NA,2012,Cosmopolitan_A1.3.2,Cosmopolitan AM3b,Brazil
AB570995,0,1,1354,1353,2005,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB570996,0,1,1354,1353,2006,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB570997,0,1,1354,1353,2006,Cosmopolitan_B1.1,Cosmopolitan CA1,Mongolia
AB570998,0,1,1354,1353,2006,Cosmopolitan CA1_A1,Cosmopolitan CA1,Mongolia
AB570999,0,1,1354,1353,2006,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571000,0,1,1354,1353,2008,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571001,0,1,1354,1353,2006,Cosmopolitan CA1_A1,Cosmopolitan CA1,Mongolia
AB571002,0,1,1354,1353,2006,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571003,0,1,1354,1353,2008,Cosmopolitan CA1_A1,Cosmopolitan CA1,Mongolia
AB571005,0,1,1354,1353,2008,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571006,0,1,1354,1353,2008,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571007,0,1,1354,1353,2008,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571008,0,1,1354,1353,2006,Cosmopolitan_B1.1,Cosmopolitan CA1,Mongolia
AB571009,0,1,1354,1353,2006,Cosmopolitan CA1_A1,Cosmopolitan CA1,Mongolia
AB571010,0,1,1354,1353,2006,Cosmopolitan_B1.1,Cosmopolitan CA1,Mongolia
AB571011,0,1,1354,1353,2008,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571012,0,1,1354,1353,2007,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571013,0,1,1354,1353,2005,Cosmopolitan_B1.1,Cosmopolitan CA1,Mongolia
AB571014,0,1,1354,1353,2005,Cosmopolitan_B1.1,Cosmopolitan CA1,Mongolia
AB571015,0,1,1354,1353,2005,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571016,0,1,1354,1353,2005,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571017,0,1,1354,1353,2005,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB571018,0,1,1354,1353,2005,Cosmopolitan CA1_A1.1.1,Cosmopolitan CA1,Mongolia
AB645847,0,135,NA,NA,2012,Cosmopolitan_A1.3,Cosmopolitan AM1,United States
AB839169,0,1,1354,1353,2013,Cosmopolitan_A1.3.1,Cosmopolitan,-
AB839170,0,427,NA,NA,2013,Cosmopolitan_A1.3.1,Cosmopolitan,-
AF045664,0,4,1354,1350,1998,Cosmopolitan WE_A1,Cosmopolitan,-
AY352455,0,1,1354,1353,2004,Cosmopolitan_B1.1,Cosmopolitan CA1,Russia
AY352456,0,1,1354,1353,2004,Cosmopolitan_B1,Cosmopolitan CA1,Russia
AY352461,0,1,1354,1353,2004,Cosmopolitan CA1_A1,Cosmopolitan CA1,Russia
AY352463,0,1,1354,1353,2004,Cosmopolitan_B1,Cosmopolitan CA1,Russia
AY352464,0,1,1354,1353,2004,Cosmopolitan_B1.1,Cosmopolitan CA1,Russia
AY352465,0,1,1354,1353,2004,Cosmopolitan_B1.1,Cosmopolitan CA1,Russia
AY352466,0,1,1354,1353,2004,Cosmopolitan_B1.1,Cosmopolitan CA1,Russia
AY352467,0,1,1354,1353,2004,Cosmopolitan_B1,Cosmopolitan CA1,Russia
AY352468,0,1,1354,1353,2004,Cosmopolitan_B1,Cosmopolitan CA1,Russia
AY352469,0,1,1354,1353,2004,Cosmopolitan CA1_A1,Cosmopolitan CA1,Russia
AY352470,0,1,1354,1353,2004,Cosmopolitan_B1,Cosmopolitan CA1,Russia
AY352471,0,1,1354,1353,2004,Cosmopolitan_B1,Cosmopolitan CA1,Russia
AY352472,0,1,1354,1353,2004,Cosmopolitan_B1.1,Cosmopolitan CA1,Russia
AY352473,0,1,1354,1353,2004,Cosmopolitan_B1.1,Cosmopolitan CA1,Russia
AY352474,0,1,1354,1353,2004,Cosmopolitan NEE_A1,Cosmopolitan NEE,Russia
