"ID","year","country","assignment"
"AB206411",2005,"Brazil","Cosmopolitan"
"AB284509",2000,"Zambia","Cosmopolitan AF1b"
"AB284510",1999,"Zambia","Cosmopolitan AF1b"
"AB284511",2000,"Zambia","Cosmopolitan AF1b"
"AB284512",2005,"Zambia","Cosmopolitan AF1b"
"AB284513",2005,"Zambia","Cosmopolitan AF1b"
"AB284514",2004,"Zambia","Cosmopolitan AF1b"
"AB284515",2000,"Zambia","Cosmopolitan AF1b"
"AB284516",2001,"Zambia","Cosmopolitan AF1b"
"AB285215",2000,"Zambia","Cosmopolitan AF1b"
"AB362483",2009,"Brazil","Cosmopolitan AM3b"
"AB517659",2012,"Brazil","Cosmopolitan AM3a"
"AB517660",2012,"Brazil","Cosmopolitan AM3b"
"AB570995",2005,"Mongolia","Cosmopolitan CA1"
"AB570996",2006,"Mongolia","Cosmopolitan CA1"
"AB570997",2006,"Mongolia","Cosmopolitan CA1"
"AB570998",2006,"Mongolia","Cosmopolitan CA1"
"AB570999",2006,"Mongolia","Cosmopolitan CA1"
"AB571000",2008,"Mongolia","Cosmopolitan CA1"
"AB571001",2006,"Mongolia","Cosmopolitan CA1"
"AB571002",2006,"Mongolia","Cosmopolitan CA1"
"AB571003",2008,"Mongolia","Cosmopolitan CA1"
"AB571005",2008,"Mongolia","Cosmopolitan CA1"
"AB571006",2008,"Mongolia","Cosmopolitan CA1"
"AB571007",2008,"Mongolia","Cosmopolitan CA1"
"AB571008",2006,"Mongolia","Cosmopolitan CA1"
"AB571009",2006,"Mongolia","Cosmopolitan CA1"
"AB571010",2006,"Mongolia","Cosmopolitan CA1"
"AB571011",2008,"Mongolia","Cosmopolitan CA1"
"AB571012",2007,"Mongolia","Cosmopolitan CA1"
"AB571013",2005,"Mongolia","Cosmopolitan CA1"
"AB571014",2005,"Mongolia","Cosmopolitan CA1"
"AB571015",2005,"Mongolia","Cosmopolitan CA1"
"AB571016",2005,"Mongolia","Cosmopolitan CA1"
"AB571017",2005,"Mongolia","Cosmopolitan CA1"
"AB571018",2005,"Mongolia","Cosmopolitan CA1"
"AB645847",2012,"United States","Cosmopolitan AM1"
"AB839169",2013,"-","Cosmopolitan"
"AB839170",2013,"-","Cosmopolitan"
"AF045664",1998,"-","Cosmopolitan"
"AY352455",2004,"Russia","Cosmopolitan CA1"
"AY352456",2004,"Russia","Cosmopolitan CA1"
"AY352461",2004,"Russia","Cosmopolitan CA1"
"AY352463",2004,"Russia","Cosmopolitan CA1"
"AY352464",2004,"Russia","Cosmopolitan CA1"
"AY352465",2004,"Russia","Cosmopolitan CA1"
"AY352466",2004,"Russia","Cosmopolitan CA1"
"AY352467",2004,"Russia","Cosmopolitan CA1"
"AY352468",2004,"Russia","Cosmopolitan CA1"
"AY352469",2004,"Russia","Cosmopolitan CA1"
"AY352470",2004,"Russia","Cosmopolitan CA1"
"AY352471",2004,"Russia","Cosmopolitan CA1"
"AY352472",2004,"Russia","Cosmopolitan CA1"
"AY352473",2004,"Russia","Cosmopolitan CA1"
"AY352474",2004,"Russia","Cosmopolitan NEE"
"AY352475",2004,"Russia","Cosmopolitan NEE"
"AY352477",2004,"Russia","Cosmopolitan CA1"
"AY352478",2004,"Russia","Cosmopolitan CA1"
"AY352481",2004,"Russia","Cosmopolitan CA1"
