"ID","N","gap","Length_before","Length_after","Year","cluster","previous","Country"
"A14407",0,0,1353,1353,1994,NA,"Cosmopolitan Vac","-"
"A14671",3,0,1353,1350,1994,NA,"Cosmopolitan Vac","-"
"AF406695",0,0,1353,1353,2003,"Cosmopolitan Vac_A1","Cosmopolitan Vac","-"
"AF406696",0,0,1353,1353,2003,"Cosmopolitan Vac_A1","Cosmopolitan Vac","-"
"DQ666288",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666292",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666293",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666301",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666303",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666305",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666310",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666313",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"DQ666320",0,0,1353,1353,2006,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"GQ406343",0,0,1353,1353,2005,"Cosmopolitan Vac_A1","Cosmopolitan Vac","China"
"GU992309",0,0,1353,1353,1995,"Cosmopolitan Vac_A1","Cosmopolitan Vac","Czechia"
"GU992311",0,0,1353,1353,1995,"Cosmopolitan Vac_A1","Cosmopolitan Vac","Czechia"
"GU992319",0,0,1353,1353,1995,"Vac_A1","Cosmopolitan Vac","Czechia"
"GU992320",0,0,1353,1353,1993,"Vac_A1.2","Cosmopolitan Vac","France"
"GU992322",0,0,1353,1353,1993,"Vac_A1","Cosmopolitan Vac","Morocco"
"JD593216",0,0,1353,1353,2015,NA,"Cosmopolitan Vac","-"
"JX944594",0,0,1353,1353,2013,"Vac_A1.2","Cosmopolitan Vac","Nepal"
"KC178555",0,0,1353,1353,2013,"Cosmopolitan Vac_A1","Cosmopolitan Vac","-"
"KC178556",0,0,1353,1353,2013,"Cosmopolitan Vac_A1","Cosmopolitan Vac","-"
"KC522613",0,0,1353,1353,2012,"Cosmopolitan Vac_A1","Cosmopolitan Vac","Slovenia"
"MK420470",0,0,1353,1353,2019,"Vac_A1.2","Cosmopolitan Vac","-"
"X03673",0,0,1353,1353,1986,NA,"Cosmopolitan Vac","-"
"GU991844",0,3,1353,1350,2003,"Cosmopolitan Vac2_A1","Cosmopolitan Vac2","Mexico"
"KJ001521",0,3,1353,1350,2008,"Cosmopolitan Vac2_A1","Cosmopolitan Vac2","Mexico"
"KJ001522",0,3,1353,1350,2009,"Cosmopolitan Vac2_A1","Cosmopolitan Vac2","Mexico"
"KJ001529",0,11,1353,1342,2009,"Cosmopolitan Vac2_A1","Cosmopolitan Vac2","Mexico"
"KJ001530",0,11,1353,1342,2009,"Cosmopolitan Vac2_A1","Cosmopolitan Vac2","Mexico"
