ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
AB569299,0,0,NA,1353,2008,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB638768,0,0,NA,1353,2008,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB638770,0,0,NA,1353,2009,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB638771,0,0,NA,1353,2009,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB817085,0,0,NA,1353,2009,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB817089,0,0,NA,1353,2009,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB817090,0,0,NA,1353,2009,Indian-Sub_B1,Indian-Sub,Sri Lanka
AB817091,0,0,NA,1353,2009,Indian-Sub_B1,Indian-Sub,Sri Lanka
EU086191,0,0,NA,1353,1997,Indian-Sub_A1.1,Indian-Sub,India
JX944569,0,0,NA,1353,2009,Indian-Sub_A1,Indian-Sub,Nepal
JX944595,0,0,NA,1353,2008,Indian-Sub_A1,Indian-Sub,Nepal
JX944597,0,0,NA,1353,2009,Indian-Sub_A1,Indian-Sub,Nepal
JX987737,0,0,NA,1353,2003,Indian-Sub_A1,Indian-Sub,Nepal
JX987740,0,0,NA,1353,2009,Indian-Sub_A1,Indian-Sub,Nepal
KU963505,0,3,NA,1350,2004,Indian-Sub_A1.1,Indian-Sub,India
KU963507,0,3,NA,1350,1997,Indian-Sub_A1.1,Indian-Sub,India
KX148108,0,0,NA,1353,2011,Indian-Sub_A1,Indian-Sub,Nepal
KX148245,0,0,NA,1353,2009,Indian-Sub_A1,Indian-Sub,Nepal
KX148246,0,0,NA,1353,1997,Indian-Sub_A1.1,Indian-Sub,India
KX434506,0,0,NA,1353,2005,Indian-Sub_A1.1,Indian-Sub,India
KX434507,0,0,NA,1353,2005,Indian-Sub_A1.1,Indian-Sub,India
KX434508,0,0,NA,1353,2005,Indian-Sub_A1.1,Indian-Sub,India
LC110290,0,0,NA,1353,2011,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110292,0,0,NA,1353,2012,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110293,0,0,NA,1353,2010,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110295,0,0,NA,1353,2011,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110296,0,0,NA,1353,2011,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110297,0,0,NA,1353,2010,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110298,0,0,NA,1353,2010,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110299,0,0,NA,1353,2010,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110300,0,0,NA,1353,2011,Indian-Sub_B1,Indian-Sub,Sri Lanka
LC110301,0,0,NA,1353,2010,Indian-Sub_B1,Indian-Sub,Sri Lanka
