ID,assignment,country,year
AB083803,Bats DR,Brazil,2002
AB083804,Bats DR,Brazil,2002
AB083805,Bats DR,Brazil,2002
AB083806,Bats DR,Brazil,2002
AB083807,Bats DR,Brazil,2002
AB083809,Bats DR,Brazil,2002
AB083810,Bats DR,Brazil,2002
AB083811,Bats DR,Brazil,2002
AB083812,Bats DR,Brazil,2002
AB083813,Bats DR,Brazil,2002
AB083814,Bats DR,Brazil,2002
AB083815,Bats DR,Brazil,2002
AB083816,Bats DR,Brazil,2002
AB083817,Bats DR,Brazil,2002
AB083818,Bats DR,Brazil,2002
AB117969,Bats DR,Brazil,2004
AB117970,Bats DR,Brazil,2004
AB117971,Bats DR,Brazil,2004
AB117972,Bats DR,Brazil,2004
AB201802,Bats DR,Brazil,2005
AB201803,Bats DR,Brazil,2005
AB201804,Bats DR,Brazil,2005
AB201805,Bats DR,Brazil,2005
AB201807,Bats,Brazil,2005
AB201809,Bats,Brazil,2005
AB201810,Bats DR,Brazil,2005
AB201811,Bats,Brazil,2005
AB201812,Bats,Brazil,2005
AB201813,Bats,Brazil,2005
AB201814,Bats,Brazil,2005
AB201817,Bats DR,Brazil,2005
AB201820,Bats DR,Brazil,2005
AB263325,Bats DR,Brazil,2007
AB263333,Bats DR,Brazil,2007
AB297627,Bats DR,Brazil,2007
AB297628,Bats DR,Brazil,2007
AB297629,Bats DR,Brazil,2007
AB297631,Bats DR,Brazil,2007
AB297632,Bats DR,Brazil,2007
AB297633,Bats DR,Brazil,2007
AB297635,Bats DR,Brazil,2007
AB297636,Bats DR,Brazil,2007
AB297639,Bats DR,Brazil,2007
AB297640,Bats DR,Brazil,2007
AB297641,Bats DR,Brazil,2007
AB297642,Bats DR,Brazil,2007
AB297643,Bats DR,Brazil,2007
AB297644,Bats DR,Brazil,2007
AB297646,Bats DR,Brazil,2007
AB297650,Bats,Brazil,2007
AB297652,Bats LC,Brazil,2007
AB297653,Bats LC,Brazil,2007
AB297654,Bats LC,Brazil,2007
AB297655,Bats,Brazil,2007
AB297657,Bats,Brazil,2007
AB297658,Bats,Brazil,2007
AB297659,Bats,Brazil,2007
AB519641,Bats DR,Brazil,2011
AB519642,Bats DR,Brazil,2011
AB608731,Bats LC,Brazil,2012
AB685222,Bats DR,Brazil,2013
AB685223,Bats DR,Brazil,2013
AB685224,Bats DR,Brazil,2013
AB685225,Bats DR,Brazil,2013
AB685226,Bats DR,Brazil,2013
AB685228,Bats DR,Brazil,2013
AB685229,Bats DR,Brazil,2013
AB685230,Bats DR,Brazil,2013
AB685231,Bats DR,Brazil,2013
AB685232,Bats DR,Brazil,2013
AB685233,Bats DR,Brazil,2013
AB685234,Bats DR,Brazil,2013
AB685235,Bats DR,Brazil,2013
AB685236,Bats DR,Brazil,2013
AB685237,Bats DR,Brazil,2013
AB685238,Bats DR,Brazil,2013
AB685239,Bats DR,Brazil,2013
AB685240,Bats DR,Brazil,2013
AB685241,Bats DR,Brazil,2013
AB685242,Bats DR,Brazil,2013
AB685243,Bats DR,Brazil,2013
AB685244,Bats DR,Brazil,2013
AB685245,Bats DR,Brazil,2013
AB685246,Bats DR,Brazil,2013
AB685247,Bats DR,Brazil,2013
AF045166,Bats DR,Peru,2000
AF070449,Bats DR,Brazil,2000
AF351827,Bats EF-E1,-,2001
AF351829,Bats EF-E1,-,2001
AF351832,Bats EF-E2,-,2001
AF351834,Bats LN,-,2001
AF351835,Bats MYsp,-,2001
AF351836,Bats MYsp,-,2001
AF351837,Bats,-,2001
AF351839,Bats MYsp,-,2001
AF351840,Bats LN,-,2001
AF351841,Bats,-,2001
