ID,assignment,country,year
AF406695,Cosmopolitan Vac,-,2003
AF406696,Cosmopolitan Vac,-,2003
AF499686,Cosmopolitan Vac,-,2002
CS614408,Cosmopolitan Vac,-,2007
DD161903,Cosmopolitan Vac,-,2005
DD161904,Cosmopolitan Vac,-,2005
DD161905,Cosmopolitan Vac,-,2005
DD161906,Cosmopolitan Vac,-,2005
DI035301,Cosmopolitan Vac,-,2008
DI043469,Cosmopolitan Vac,-,2008
DI046747,Cosmopolitan Vac,-,2008
DI084725,Cosmopolitan Vac,-,2008
DQ666288,Cosmopolitan Vac,China,2006
DQ666292,Cosmopolitan Vac,China,2006
DQ666293,Cosmopolitan Vac,China,2006
DQ666301,Cosmopolitan Vac,China,2006
DQ666303,Cosmopolitan Vac,China,2006
DQ666305,Cosmopolitan Vac,China,2006
DQ666310,Cosmopolitan Vac,China,2006
DQ666313,Cosmopolitan Vac,China,2006
DQ666320,Cosmopolitan Vac,China,2006
EF206707,Cosmopolitan Vac,-,2007
EF206708,Cosmopolitan Vac,-,2007
EF206709,Cosmopolitan Vac,-,2007
EF206710,Cosmopolitan Vac,-,2007
EF206711,Cosmopolitan Vac,-,2007
EF206712,Cosmopolitan Vac,-,2007
EF206713,Cosmopolitan Vac,-,2007
EF206714,Cosmopolitan Vac,-,2007
EF206715,Cosmopolitan Vac,-,2007
EF206716,Cosmopolitan Vac,-,2007
EF206717,Cosmopolitan Vac,-,2007
EF206718,Cosmopolitan Vac,-,2007
EF206719,Cosmopolitan Vac,-,2007
EF206720,Cosmopolitan Vac,-,2007
EU182346,Cosmopolitan Vac,-,2007
EU182347,Cosmopolitan Vac,-,2007
EU877067,Cosmopolitan Vac,-,2008
EU877068,Cosmopolitan Vac,-,2008
EU877069,Cosmopolitan Vac,-,2008
EU877070,Cosmopolitan Vac,-,2008
EU877071,Cosmopolitan Vac,-,2008
EU886631,Cosmopolitan Vac,Germany,2001
EU886632,Cosmopolitan Vac,Germany,2002
EU886633,Cosmopolitan Vac,Austria,2004
EU886634,Cosmopolitan Vac,Germany,2004
EU886635,Cosmopolitan Vac,Germany,2005
EU886636,Cosmopolitan Vac,Austria,2006
FJ913470,Cosmopolitan Vac,China,2007
GQ406343,Cosmopolitan Vac,China,2005
GU991844,Cosmopolitan Vac2,Mexico,2003
GU992309,Cosmopolitan Vac,Czechia,1995
GU992311,Cosmopolitan Vac,Czechia,1995
GU992319,Cosmopolitan Vac,Czechia,1995
GU992320,Cosmopolitan Vac,France,1993
GU992322,Cosmopolitan Vac,Morocco,1993
JQ685975,Cosmopolitan Vac2,Mexico,2009
JX276550,Cosmopolitan Vac,China,2012
JX944594,Cosmopolitan Vac,Nepal,2013
KC178555,Cosmopolitan Vac,-,2013
KC178556,Cosmopolitan Vac,-,2013
KC522613,Cosmopolitan Vac,Slovenia,2012
KJ001521,Cosmopolitan Vac2,Mexico,2008
KJ001522,Cosmopolitan Vac2,Mexico,2009
KJ001529,Cosmopolitan Vac2,Mexico,2009
KJ001530,Cosmopolitan Vac2,Mexico,2009
LN713542,Cosmopolitan Vac,-,2015
LN713543,Cosmopolitan Vac,-,2015
LN713544,Cosmopolitan Vac,-,2015
LN713545,Cosmopolitan Vac,-,2015
LN713546,Cosmopolitan Vac,-,2015
LN713547,Cosmopolitan Vac,-,2015
LN713548,Cosmopolitan Vac,-,2015
LN713549,Cosmopolitan Vac,-,2015
LN713550,Cosmopolitan Vac,-,2015
LN713551,Cosmopolitan Vac,-,2015
LN713552,Cosmopolitan Vac,-,2015
LN713553,Cosmopolitan Vac,-,2015
LN713554,Cosmopolitan Vac,-,2015
LN713555,Cosmopolitan Vac,-,2015
LN713556,Cosmopolitan Vac,-,2015
LN713557,Cosmopolitan Vac,-,2015
LN713558,Cosmopolitan Vac,-,2015
LN713559,Cosmopolitan Vac,-,2015
LN713560,Cosmopolitan Vac,-,2015
LN713561,Cosmopolitan Vac,-,2015
LN713562,Cosmopolitan Vac,-,2015
LN713563,Cosmopolitan Vac,-,2015
LN713564,Cosmopolitan Vac,-,2015
LN713565,Cosmopolitan Vac,-,2015
LN713566,Cosmopolitan Vac,-,2015
LN713567,Cosmopolitan Vac,-,2015
LN713568,Cosmopolitan Vac,-,2015
LN713569,Cosmopolitan Vac,-,2015
LN713570,Cosmopolitan Vac,-,2015
LN713571,Cosmopolitan Vac,-,2015
LN713572,Cosmopolitan Vac,-,2015
LN713573,Cosmopolitan Vac,-,2015
LN713574,Cosmopolitan Vac,-,2015
LN713575,Cosmopolitan Vac,-,2015
LN713576,Cosmopolitan Vac,-,2015
LN713577,Cosmopolitan Vac,-,2015
LN713578,Cosmopolitan Vac,-,2015
LN713579,Cosmopolitan Vac,-,2015
LN713580,Cosmopolitan Vac,-,2015
LN713581,Cosmopolitan Vac,-,2015
LN713582,Cosmopolitan Vac,-,2015
LN713583,Cosmopolitan Vac,-,2015
LN713584,Cosmopolitan Vac,-,2015
LN713585,Cosmopolitan Vac,-,2015
LN713586,Cosmopolitan Vac,-,2015
LN713587,Cosmopolitan Vac,-,2015
LN713588,Cosmopolitan Vac,-,2015
LN713589,Cosmopolitan Vac,-,2015
LN713590,Cosmopolitan Vac,-,2015
LN713591,Cosmopolitan Vac,-,2015
LN713592,Cosmopolitan Vac,-,2015
LN713593,Cosmopolitan Vac,-,2015
LN713594,Cosmopolitan Vac,-,2015
LN713595,Cosmopolitan Vac,-,2015
