"ID","alignment.name","assignment","sequence.m49_country.id","country","sequence.gb_place_sampled","sequence.collection_year","sequence.earliest_collection_year","year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"AF467949","AL_Africa-3","Africa-3","ZAF","South Africa","-","-","-",2002,1353,"07-Feb-02","07-Feb-02","-","-","-"
"EU478492","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","19264663","28BF"
"EU478493","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","10BF"
"EU478494","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","2BF"
"EU478495","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","4BF"
"EU478496","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","8BF"
"EU478497","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","9BF"
"EU478498","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","12BF"
"EU478499","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","18BF"
"EU478500","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1351,"28-Feb-09","25-Jul-16","Canis familiaris","-","31BF"
"EU478501","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","33BF"
"EU478502","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","19264663","36BF"
"EU478503","AL_Africa-2","Africa-2","BFA","Burkina Faso","-","2007","2007",2007,1350,"28-Feb-09","25-Jul-16","Canis familiaris","-","41BF"
