ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
AB178890,0,1,1354,1353,2004,Arctic AL2_A1,Arctic AL2,-
AB571004,0,1,1354,1353,2007,Arctic AL2_A1,Arctic AL2,Mongolia
AB699214,0,1,1354,1353,2010,Arctic_A1,Arctic AL1a,Bangladesh
AB699215,0,1,1354,1353,2010,Arctic_A1,Arctic AL1a,Bangladesh
AB699216,0,1,1354,1353,2010,Arctic AL1a_A1,Arctic AL1a,Bangladesh
AB699217,0,1,1354,1353,2010,Arctic_A1,Arctic AL1a,Bangladesh
AB699218,0,1,1354,1353,2010,Arctic AL1a_A1,Arctic AL1a,Bangladesh
AB699219,0,1,1354,1353,2010,Arctic AL1a_A1,Arctic AL1a,Bangladesh
AB699220,0,2,NA,NA,2010,Arctic AL1a_A1,Arctic AL1a,Bangladesh
AH014570,6,38,1354,1310,1994,Arctic A_B1,Arctic A,United States
AY352458,0,1,1354,1353,2004,Arctic AL2_A1,Arctic AL2,-
AY352459,0,1,1354,1353,2004,Arctic AL2_A1,Arctic AL2,-
AY352460,0,1,1354,1353,1977,Arctic AL2_A1,Arctic AL2,-
AY352462,0,1,1354,1353,1998,Arctic A_A1,Arctic A,-
AY352480,0,1,1354,1353,2004,Arctic A_A1.4,Arctic A,-
AY352486,0,1,1354,1353,1995,Arctic A_A1.4,Arctic A,-
AY352487,0,1,1354,1353,2004,Arctic A_A1,Arctic A,-
AY352488,0,1,1354,1353,1988,Arctic A_A1.4,Arctic A,-
AY352493,0,1,1354,1353,2004,Arctic AL1a_A1,Arctic AL1a,-
AY352494,0,1,1354,1353,2004,Arctic AL2_A1,Arctic AL2,-
AY352498,0,1,1354,1353,1988,Arctic A_A1.4,Arctic A,-
AY352499,0,1,1354,1353,2004,Arctic A_A1.4,Arctic A,-
AY352500,0,1,1354,1353,1988,Arctic A_A1,Arctic A,-
AY352501,0,1,1354,1353,2004,Arctic A_A1,Arctic A,-
AY704923,0,36,1354,1318,2005,Arctic AL1a_A1,Arctic A,-
AY704924,0,22,1354,1332,1992,Arctic AL1a_A1,Arctic A,United States
AY704925,0,38,1354,1316,1992,Arctic AL1a_A1,Arctic A,United States
AY730595,0,1,1354,1353,2004,Arctic AL2_B1.1,Arctic AL2,South Korea
AY730596,0,1,1354,1353,2004,Arctic AL2_B1.1,Arctic AL2,South Korea
AY730597,0,1,1354,1353,2005,Arctic AL2_B1.1,Arctic AL2,South Korea
AY956319,0,2,NA,NA,2005,Arctic AL1a_A1,Arctic AL1a,Germany
DQ076119,0,1,1354,1353,1998,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ076120,0,1,1354,1353,1998,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ076121,0,1,1354,1353,1999,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ076122,0,1,1354,1353,1999,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ076123,0,1,1354,1353,1999,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ076124,0,1,1354,1353,2002,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ076125,0,1,1354,1353,2002,Arctic AL2_B1.1,Arctic AL2,South Korea
DQ076126,0,1,1354,1353,2004,Arctic AL2_B1.1,Arctic AL2,South Korea
DQ076127,0,1,1354,1353,2002,Arctic AL2_B1.1,Arctic AL2,South Korea
DQ076128,0,1,1354,1353,2002,Arctic AL2_B1.1,Arctic AL2,South Korea
DQ076129,0,1,1354,1353,2004,Arctic AL2_B1.1,Arctic AL2,South Korea
DQ076130,0,1,1354,1353,2004,Arctic AL2_B1.1,Arctic AL2,South Korea
DQ076131,0,1,1354,1353,1999,Arctic AL2_A1.1.1,Arctic AL2,South Korea
DQ521212,0,1,1354,1353,2006,Arctic AL2_A1,Arctic,Iran
EF437215,0,2,NA,NA,2007,Arctic AL1a_A1,Arctic AL1a,India
EF611828,0,4,1354,1350,1987,Arctic AL2_A1,Arctic A,-
EF611829,0,4,1354,1350,1987,Arctic A_A1.4,Arctic A,-
EF611830,0,4,1354,1350,1987,Arctic A_A1.4,Arctic A,-
EF611831,0,4,1354,1350,1987,Arctic A_A1.4,Arctic A,-
EF611832,0,4,1354,1350,1960,Arctic AL2_A1,Arctic A,-
EF611833,0,4,1354,1350,1988,Arctic A_A1.4,Arctic A,-
EF611834,0,4,1354,1350,1960,Arctic A_A1.4,Arctic A,-
EF611835,0,4,1354,1350,1960,Arctic AL2_A1,Arctic A,-
EF611836,0,4,1354,1350,1960,Arctic AL2_A1,Arctic A,-
EF611837,0,4,1354,1350,1960,Arctic A_A1.4,Arctic A,-
EF611838,0,4,1354,1350,1960,Arctic A_A1,Arctic A,-
EF611839,0,4,1354,1350,1960,Arctic AL2_A1,Arctic A,-
EF611840,0,4,1354,1350,1960,Arctic AL2_A1,Arctic A,-
EF611841,0,7,1354,1347,2007,Arctic A_B1.3,Arctic A,-
EF611842,0,7,1354,1347,2006,Arctic A_B1.3,Arctic A,-
EF611843,0,7,1354,1347,2007,Arctic A_B1.3,Arctic A,-
EF611844,0,7,1354,1347,2007,Arctic A_B1.3,Arctic A,-
EF611845,0,4,1354,1350,2007,Arctic A_A1,Arctic A,-
EF611846,0,4,1354,1350,2006,Arctic A_A1.4,Arctic A,-
EF611847,0,7,1354,1347,2006,Arctic A_B1.3,Arctic A,-
EF611848,0,4,1354,1350,2006,Arctic A_A1.4,Arctic A,-
EF611849,0,4,1354,1350,2006,Arctic A_A1,Arctic A,-
EF611850,0,4,1354,1350,2007,Arctic A_A1,Arctic A,-
EF611851,0,4,1354,1350,2006,Arctic A_A1,Arctic A,-
EF611852,0,4,1354,1350,2006,Arctic A_A1,Arctic A,-
EF611853,0,7,1354,1347,2008,Arctic A_B1.3,Arctic A,-
EF611854,0,4,1354,1350,2006,Arctic A_A1.4,Arctic A,-
EF611855,0,7,1354,1347,2006,Arctic A_A1,Arctic A,-
EF611856,0,4,1354,1350,2006,Arctic A_A1.4,Arctic A,-
EF611857,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611858,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611859,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611860,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611861,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611862,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611863,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611864,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611865,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611866,1,4,1354,1349,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611867,0,4,1354,1350,2008,Arctic AL1a_A1,Arctic AL1a,-
EF611868,0,4,1354,1350,1980,Arctic AL2_A1.1,Arctic AL2,-
EU284093,0,1,1354,1353,2007,Arctic AL2_A1.1,Arctic AL2,China
EU284094,0,1,1354,1353,2007,Arctic AL2_A1.1,Arctic AL2,China
EU652444,0,1,1354,1353,2007,Arctic AL2_A1.1,Arctic AL2,China
EU652445,0,1,1354,1353,2007,Arctic AL2_A1.1,Arctic AL2,China
FJ228546,0,4,1354,1350,2007,Arctic AL1a_A1,Arctic AL1a,United States
FJ415313,0,1,1354,1353,2007,Arctic AL2_A1.1,Arctic AL2,China
GU937035,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU937036,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU937037,0,1,1354,1353,2008,Arctic AL2_B1,Arctic AL2,South Korea
GU937038,0,1,1354,1353,2008,Arctic AL2_B1,Arctic AL2,South Korea
GU937039,0,1,1354,1353,2008,Arctic AL2_B1.1,Arctic AL2,South Korea
GU937040,0,1,1354,1353,2008,Arctic AL2_B1,Arctic AL2,South Korea
GU937041,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU937042,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU937043,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU937044,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU937045,0,1,1354,1353,2009,Arctic AL2_B1,Arctic AL2,South Korea
GU992317,0,1,1354,1353,1991,Arctic A_B1,Arctic A,United States
HE802675,0,2,NA,NA,2010,Arctic AL1a_A1,Arctic AL1a,Pakistan
HE802676,0,2,NA,NA,2007,Arctic AL1a_A1,Arctic AL1a,Pakistan
JN258586,0,1,1354,1353,2007,Arctic A_A1,Arctic A,United States
JN258587,0,1,1354,1353,2007,Arctic A_A1,Arctic A,United States
JN258588,0,1,1354,1353,2007,Arctic A_A1,Arctic A,United States
JN258589,0,1,1354,1353,2008,Arctic A_A1,Arctic A,United States
JN258590,0,1,1354,1353,2008,Arctic A_A1,Arctic A,United States
JN258591,0,1,1354,1353,2008,Arctic A_A1,Arctic A,United States
JN258592,0,1,1354,1353,2008,Arctic A_A1.4,Arctic A,United States
JQ944707,0,2,NA,NA,2008,Arctic A_A1,Arctic A,Russia
JX944567,0,1,1354,1353,2010,Arctic_A1,Arctic AL1a,Nepal
JX944574,0,1,1354,1353,2010,Arctic AL1a_A1,Arctic AL1a,Nepal
JX987745,0,1,1354,1353,1980,Arctic A_A1,Arctic A,Greenland
JX987747,0,1,1354,1353,1990,Arctic A_A1.4,Arctic A,Russia
KC171643,0,2,NA,NA,2008,Arctic AL2_A1,Arctic AL2,South Korea
KC171644,0,2,NA,NA,2004,Arctic AL2_A1,Arctic AL2,South Korea
