"ID","cluster"
"KX148244","Africa_A1"
"KX148222","Africa_A1"
"KX148220","Africa_A1"
"MG458308","Africa_A1"
"KX148230","Africa-2_A1"
"KX148236","Africa-2_A1"
"KX148233","Africa-2_A1"
"MH514970","Africa-2_A1.1"
"MH514968","Africa-2_A1.1"
"MH514969","Africa-2_A1.1"
"MH514973","Africa-2_A1.1.1"
"MH514985","Africa-2_A1.1.1"
"MH514977","Africa-2_A1.1.1"
"KC762941","Asian SEA1b_A1"
"MN186250","Asian SEA1b_A1"
"MG201922","Asian SEA1b_A1"
"JQ647510","Asian SEA1b_A1.1"
"MG458321","Asian SEA1b_A1.1"
"JQ970484","Asian SEA1b_A1.1"
"FJ712194","Asian SEA1b_A1.1.1"
"KC977995","Asian SEA1b_A1.1.1"
"JQ970483","Asian SEA1b_A1.1.1"
"MK689674","Asian SEA1b_A1.1.1"
"MK567666","Asian SEA1b_B1"
"KJ564280","Asian SEA1b_B1"
"MK577649","Asian SEA1b_B1"
"KX148258","Asian SEA3_A1"
"JQ730682","Asian SEA3_A1"
"JN786878","Asian SEA3_A1.1"
"MN075931","Asian SEA3_A1.1"
"KX148250","Asian SEA3_A1.1"
"KX148251","Asian SEA3_A1.1"
"LC571945","Asian SEA4_A1"
"MN726841","Asian SEA4_A1"
"MN726853","Asian SEA4_A1.1"
"MN726873","Asian SEA4_A1.1"
"MN726840","Asian SEA4_A1.1"
"MN726866","Asian SEA4_A1.1.1"
"MN726838","Asian SEA4_A1.1.1"
"MN726868","Asian SEA4_A1.1.1"
"MN726854","Asian SEA4_A1.1.2"
"MN857169","Asian SEA4_A1.1.2"
"MN726855","Asian SEA4_A1.1.2"
"MN726881","Asian SEA4_A1.1.2"
"MN726880","Asian SEA4_A1.2"
"MN857171","Asian SEA4_A1.2"
"MN726845","Asian SEA4_A1.2"
"KF620489","Asian_A1"
"KF620488","Asian_A1"
"EF564174","Asian_A1.1"
"HQ317918","Asian_A1.1"
"KJ466147","Asian_A1.1"
"EU643590","Asian_A1.1.1"
"FJ712195","Asian_A1.1.1"
"MG201921","Asian_A1.1.1"
"KX954123","Arctic A_A1"
"KU198471","Arctic A_A1"
"KX036361","Arctic A_A1"
"MN233959","Arctic A_A1.1"
"MN234017","Arctic A_A1.1"
"MN233952","Arctic A_A1.1"
"MN233955","Arctic A_A1.1"
"KU198466","Arctic A_A1.1.1"
"MN233912","Arctic A_A1.1.1"
"MN234016","Arctic A_A1.1.1"
"KX036366","Arctic A_A1.1.2"
"MN233914","Arctic A_A1.1.2"
"MN234018","Arctic A_A1.1.2"
"KX036362","Arctic A_A1.2"
"LM645018","Arctic A_A1.2"
"KX036367","Arctic A_A1.2"
"LT598543","Arctic A_A1.2.1"
"LM645023","Arctic A_A1.2.1"
"LM645034","Arctic A_A1.2.1"
"LM645036","Arctic A_A1.2.1"
"LM645054","Arctic A_A1.3"
"LM645051","Arctic A_A1.3"
"LM645053","Arctic A_A1.3"
"LM645042","Arctic A_A1.3.1"
"LM645044","Arctic A_A1.3.1"
"LM645043","Arctic A_A1.3.1"
"MN234051","Arctic A_A1.4"
"MN234005","Arctic A_A1.4"
"MN234054","Arctic A_A1.4"
"MN233995","Arctic A_A1.4"
"MK540895","Arctic A_B1"
"MK540920","Arctic A_B1"
"MK540896","Arctic A_B1"
"MK540992","Arctic A_B1.1"
"MK540964","Arctic A_B1.1"
"MK540986","Arctic A_B1.1"
"MK540912","Arctic A_B1.1.1"
"MK540927","Arctic A_B1.1.1"
"MK540913","Arctic A_B1.1.1"
"MK540971","Arctic A_B1.2"
"MK540936","Arctic A_B1.2"
"MK540957","Arctic A_B1.2"
"MK540947","Arctic A_B1.2.1"
"MK540984","Arctic A_B1.2.1"
"MK540978","Arctic A_B1.2.1"
"MK540907","Arctic A_B1.3"
"MK540903","Arctic A_B1.3"
"MK540894","Arctic A_B1.3"
"MK540901","Arctic A_B1.3"
"MK540966","Arctic A_B1.4"
"MK540972","Arctic A_B1.4"
"MK540928","Arctic A_B1.4"
"MK540919","Arctic A_B1.5"
"MK540977","Arctic A_B1.5"
"MK540911","Arctic A_B1.5"
"MK540915","Arctic A_B1.5"
"MN233906","Arctic A_C1"
"MN233920","Arctic A_C1"
"MN233975","Arctic A_C1.1"
"MN234021","Arctic A_C1.1"
"MN233976","Arctic A_C1.1.1"
"MN233982","Arctic A_C1.1.1"
"MN233963","Arctic A_C1.1.1"
"LT598540","Arctic A_C1.2"
"LM645020","Arctic A_C1.2"
"MN233967","Arctic A_C1.2"
"MN233989","Arctic A_C1.2"
"MK540909","Arctic A_D1"
"MK540918","Arctic A_D1"
"MK540910","Arctic A_D1"
"MK540925","Arctic A_D1.1"
"MK540990","Arctic A_D1.1"
"MK540952","Arctic A_D1.1"
"MK540960","Arctic A_D1.1"
"MK540945","Arctic A_D1.1.1"
"MK540995","Arctic A_D1.1.1"
"MK540974","Arctic A_D1.1.1"
"MK540976","Arctic A_D1.1.1"
"MK540958","Arctic A_D1.2"
"MK540991","Arctic A_D1.2"
"MK540969","Arctic A_D1.2"
"MN233919","Arctic A_E1"
"MN233903","Arctic A_E1"
"MN234008","Arctic A_E1.1"
"LM645015","Arctic A_E1.1"
"LM645017","Arctic A_E1.1"
"MN234006","Arctic A_E1.1"
"MN233999","Arctic A_E1.1.1"
"MN234052","Arctic A_E1.1.1"
"MN234044","Arctic A_E1.1.1"
"KU198477","Arctic A_E1.1.2"
"MN233973","Arctic A_E1.1.2"
"MN233990","Arctic A_E1.1.2"
"MN233922","Arctic A_E1.2"
"MN233978","Arctic A_E1.2"
"MN234030","Arctic A_E1.2"
"LT598539","Arctic A_F1"
"MN418166","Arctic A_F1"
"MN233938","Arctic A_F1"
"MN234002","Arctic A_F1"
"MK541008","Arctic A_G1"
"MK541010","Arctic A_G1"
"MK541002","Arctic A_G1"
"MK541011","Arctic A_G1"
"MG011654","Arctic AL1a_A1"
"HE802676","Arctic AL1a_A1"
"HE802675","Arctic AL1a_A1"
"KC171643","Arctic AL2_A1"
"KY860613","Arctic AL2_A1"
"KC171645","Arctic AL2_A1"
"KY982922","Arctic AL2_A1"
"KY997452","Arctic AL2_A1.1"
"KY952219","Arctic AL2_A1.1"
"KY175229","Arctic AL2_A1.1"
"KY175230","Arctic AL2_A1.1"
"LT909545","Arctic_A1"
"KX148226","Arctic_A1"
"JQ685973","Bat_A1"
"JQ685942","Bat_A1"
"JQ685977","Bat_A1"
"JQ685948","Bat_A1"
"KM594038","Bat_B1"
"MG458305","Bat_B1"
"KM594037","Bat_B1"
"JQ685953","Bat_B1.1"
"JQ685963","Bat_B1.1"
"KX148100","Bat_B1.1"
"EU293113","Bat_B1.1"
"KM594024","Bat_C1"
"JQ685902","Bat_C1"
"JQ685900","Bat_C1"
"JQ685910","Bat_C1"
"KM594030","Bat_D1"
"JQ685921","Bat_D1"
"JQ685957","Bat_D1"
"JQ685907","Bats EF-W1_A1"
"JQ685951","Bats EF-W1_A1"
"JQ685946","Bats EF-W1_A1"
"JQ685960","Bats EF-W1_A1.1"
"JQ685933","Bats EF-W1_A1.1"
"JQ685945","Bats EF-W1_A1.1"
"JQ685950","Bats EF-W1_A1.1"
"JQ685959","Bats EF-W1_A1.1.1"
"JQ685926","Bats EF-W1_A1.1.1"
"JQ685976","Bats EF-W1_A1.2"
"JQ685941","Bats EF-W1_A1.2"
"JQ685939","Bats EF-W1_A1.2"
"JQ685896","Bats EF-W1_A1.2"
"JQ685906","Bats EF-W1_B1"
"JQ685923","Bats EF-W1_B1"
"JQ685932","Bats EF-W1_B1"
"JQ685935","Bats EF-W1_B1"
"MG458319","Cosmopolitan_A1"
"DQ875051","Cosmopolitan_A1"
"EF542830","Cosmopolitan_A1"
"KX148104","Cosmopolitan_A1.1"
"MG458309","Cosmopolitan_A1.1"
"KX148135","Cosmopolitan_A1.1.1"
"MG458312","Cosmopolitan_A1.1.1"
"KY860606","Cosmopolitan_A1.1.2"
"KX148191","Cosmopolitan_A1.1.2"
"MK760687","Cosmopolitan_A1.1.2"
"MK760691","Cosmopolitan_A1.1.2"
"KR906748","Cosmopolitan_A1.2"
"KR906752","Cosmopolitan_A1.2"
"KX148209","Cosmopolitan_A1.2"
"KR906757","Cosmopolitan_A1.2.1"
"KX148103","Cosmopolitan_A1.2.1"
"KR906791","Cosmopolitan_A1.2.2"
"LT909528","Cosmopolitan_A1.2.2"
"KY210254","Cosmopolitan_A1.2.2"
"KY210266","Cosmopolitan_A1.2.2"
"MT454651","Cosmopolitan_A1.2.3"
"MT454632","Cosmopolitan_A1.2.3"
"KX708501","Cosmopolitan_A1.3"
"JQ685970","Cosmopolitan_A1.3"
"MG458315","Cosmopolitan_A1.3"
"DQ875050","Cosmopolitan_A1.3.1"
"JQ685899","Cosmopolitan_A1.3.1"
"LT839616","Cosmopolitan_A1.3.1"
"JQ944709","Cosmopolitan_A1.3.1"
"KC737850","Cosmopolitan_A1.3.2"
"AB517660","Cosmopolitan_A1.3.2"
"KX148215","Cosmopolitan_A1.3.2"
"JQ944708","Cosmopolitan_B1"
"MK598340","Cosmopolitan_B1"
"MK598341","Cosmopolitan_B1"
"KY765901","Cosmopolitan_B1.1"
"KY649620","Cosmopolitan_B1.1"
"KC595282","Cosmopolitan_B1.1"
"KC595283","Cosmopolitan_B1.1"
"KT336436","Cosmopolitan_C1"
"KT336437","Cosmopolitan_C1"
"KT336435","Cosmopolitan_C1"
"MT454635","Cosmopolitan_C1.1"
"MT454648","Cosmopolitan_C1.1"
"MT454652","Cosmopolitan_C1.1"
"KX148170","Cosmopolitan_D1"
"MN534896","Cosmopolitan_D1"
"KX148172","Cosmopolitan_D1"
"MK760692","Cosmopolitan_E1"
"MK760709","Cosmopolitan_E1"
"MK760686","Cosmopolitan_E1"
"KX148178","Cosmopolitan_F1"
"KY860605","Cosmopolitan_F1"
"KX148181","Cosmopolitan_F1"
"KX148182","Cosmopolitan_F1"
"KR534230","Cosmopolitan_G1"
"KR906769","Cosmopolitan_G1"
"KY210304","Cosmopolitan_G1"
"KR906770","Cosmopolitan_G1"
"KX148197","Cosmopolitan AF1a_A1"
"MK981888","Cosmopolitan AF1a_A1"
"KX148194","Cosmopolitan AF1a_A1"
"KX148199","Cosmopolitan AF1a_A1.1"
"MN726819","Cosmopolitan AF1a_A1.1"
"LT909531","Cosmopolitan AF1a_A1.1"
"KR906763","Cosmopolitan AF1b_A1"
"KX148205","Cosmopolitan AF1b_A1"
"KR906765","Cosmopolitan AF1b_A1"
"LT909536","Cosmopolitan AF1b_A1.1"
"LC029889","Cosmopolitan AF1b_A1.1"
"KR906775","Cosmopolitan AF1b_A1.1"
"KY210275","Cosmopolitan AF1b_A1.1"
"KY210221","Cosmopolitan AF1b_A1.1.1"
"MN726803","Cosmopolitan AF1b_A1.1.1"
"KR906737","Cosmopolitan AF1b_A1.1.1"
"KY210220","Cosmopolitan AF1b_A1.1.1"
"KR906762","Cosmopolitan AF1b_A1.1.2"
"KR906741","Cosmopolitan AF1b_A1.1.2"
"KR906761","Cosmopolitan AF1b_A1.1.2"
"KR906749","Cosmopolitan AF1b_A1.1.2"
"KY210228","Cosmopolitan AF1b_B1"
"KR906738","Cosmopolitan AF1b_B1"
"KR906786","Cosmopolitan AF1b_B1"
"KY210267","Cosmopolitan AF1b_B1.1"
"MN726811","Cosmopolitan AF1b_B1.1"
"KR534232","Cosmopolitan AF1b_B1.1"
"KY210260","Cosmopolitan AF1b_B1.1.1"
"KY210259","Cosmopolitan AF1b_B1.1.1"
"KR534246","Cosmopolitan AF1b_B1.1.1"
"KR906771","Cosmopolitan AF1b_B1.1.1"
"MN726825","Cosmopolitan AF1b_B1.2"
"MN726802","Cosmopolitan AF1b_B1.2"
"KY210295","Cosmopolitan AF1b_B1.2"
"KY210262","Cosmopolitan AF1b_B1.3"
"KR906788","Cosmopolitan AF1b_B1.3"
"KY210303","Cosmopolitan AF1b_B1.3"
"MN726804","Cosmopolitan AF1b_C1"
"MN726827","Cosmopolitan AF1b_C1"
"KR906754","Cosmopolitan AF1b_C1"
"KR906750","Cosmopolitan AF1b_C1"
"KX708502","Cosmopolitan AM2a_A1"
"KX148112","Cosmopolitan AM2a_A1"
"KX708504","Cosmopolitan AM2a_A1"
"KX148102","Cosmopolitan AM2a_A1"
"KT728348","Cosmopolitan CA1_A1"
"MK760706","Cosmopolitan CA1_A1"
"JQ944706","Cosmopolitan CA2_A1"
"MK760766","Cosmopolitan CA2_A1"
"MK760756","Cosmopolitan CA2_A1"
"MF197742","Cosmopolitan CE_A1"
"KX148122","Cosmopolitan CE_A1"
"KX148118","Cosmopolitan CE_A1"
"MK598343","Cosmopolitan EE_A1"
"KX148144","Cosmopolitan EE_A1"
"MK598344","Cosmopolitan EE_A1"
"MK760763","Cosmopolitan ME1a_A1"
"MK760710","Cosmopolitan ME1a_A1"
"MK760677","Cosmopolitan ME1a_A1"
"MK760701","Cosmopolitan ME1a_A1"
"MK760674","Cosmopolitan ME1a_A1.1"
"MK760740","Cosmopolitan ME1a_A1.1"
"MK760741","Cosmopolitan ME1a_A1.1.1"
"MK760704","Cosmopolitan ME1a_A1.1.1"
"MK760696","Cosmopolitan ME1a_A1.1.1"
"MK760752","Cosmopolitan ME1a_A1.2"
"MK760767","Cosmopolitan ME1a_A1.2"
"MK760693","Cosmopolitan ME1a_A1.2"
"KX148166","Cosmopolitan ME2_A1"
"KY860609","Cosmopolitan ME2_A1"
"KX148165","Cosmopolitan ME2_A1"
"KY860612","Cosmopolitan ME2_A1.1"
"MK760730","Cosmopolitan ME2_A1.1"
"MK760714","Cosmopolitan ME2_A1.1"
"KY860603","Cosmopolitan ME2_A1.1.1"
"KY860608","Cosmopolitan ME2_A1.1.1"
"KY860587","Cosmopolitan ME2_A1.1.1"
"KY860599","Cosmopolitan ME2_B1"
"KY860593","Cosmopolitan ME2_B1"
"KY860600","Cosmopolitan ME2_B1"
"KY860598","Cosmopolitan ME2_B1"
"KX148151","Cosmopolitan NEE_A1"
"KX148155","Cosmopolitan NEE_A1"
"KX148154","Cosmopolitan NEE_A1"
"MK598349","Cosmopolitan NEE_A1.1"
"MK598350","Cosmopolitan NEE_A1.1"
"MK598346","Cosmopolitan NEE_A1.1"
"MK598348","Cosmopolitan NEE_A1.1"
"MK598361","Cosmopolitan NEE_A1.1.1"
"MK598381","Cosmopolitan NEE_A1.1.1"
"JQ944704","Cosmopolitan NEE_A1.2"
"LT909537","Cosmopolitan NEE_A1.2"
