"ID","cluster"
"AB009663",NA
"AB044824",NA
"AB085828","F1"
"AB128149",NA
"AB839170","F1"
"DQ099524","F1"
"DQ099525","F1"
"DQ875050","F1"
"DQ875051","A1"
"EF542830","A1.1"
"FJ577895","F1"
"GQ412744","A1"
"GQ918139","F1"
"GU565703","F1"
"GU565704","F1"
"HM535790","F1"
"HQ891318","F1"
"JN234411","A1"
"JQ944709","F1"
"KM198893","A1.1"
"KX708499","D1.1"
"KX708500","D1.1"
"KX708501","D1.1"
"KY765901","E1"
"LC325820","F1"
"LN879480","E1"
"LT839616","F1"
"LT909530","D1.1.2"
"LT909543","D1.1.2"
"MG458312","B1.1"
"MG458319","A1.1.1"
"KF155001","AF1a_A1"
"KP723638","AF1a_A1.1"
"KX148193","AF1a_A1"
"KX148194","AF1a_A1"
"KX148195","AF1a_A1"
"KX148196","AF1a_A1"
"KX148197","AF1a_A1"
"KX148198","AF1a_A1.1"
"KX148199","AF1a_A1.1"
"KX148200","AF1a_A1.1"
"KX148201","A1.1.1"
"KX148202","A1.1.1"
"LT909529","AF1a_A1"
"LT909531","AF1a_A1.1"
"LT909535","AF1a_A1"
"LT909542","AF1a_A1"
"LT909546","A1.1.1"
"LT909551","AF1a_A1.1"
"MK981888","AF1a_A1"
"MN726805","AF1a_A1.1"
"MN726810","AF1a_A1.1"
"MN726812","AF1a_A1.1"
"MN726819","AF1a_A1.1"
"MN726830","AF1a_A1.1"
"JX473838","AF1b_A1.3.1"
"JX473839","AF1b_A1.3.1"
"JX473840","AF1b_A1.3.1"
"JX473841","AF1b_A1.3.1"
"KF155002","AF1b_C1.1"
"KR534217","AF1b_B1"
"KR534218","AF1b_B1"
"KR534219","AF1b_A1.4"
"KR534220","AF1b_B1"
"KR534228","AF1b_A1.4"
"KR534229","AF1b_B1.1"
"KR534230","AF1b_A1.4.1"
"KR534231","AF1b_A1.4"
"KR534232","AF1b_B1.1"
"KR534233","AF1b_B1.1"
"KR534234","AF1b_A1.4"
"KR534235","AF1b_B1.3"
"KR534236","AF1b_B1.3"
"KR534237","AF1b_B1.3"
"KR534238","AF1b_A1.4"
"KR534244","AF1b_D1.1.1"
"KR534245","AF1b_D1.1.1"
"KR534246","AF1b_D1.1.1"
"KR534247","AF1b_D1.1"
"KR534248","AF1b_D1.1.1"
"KR534249","AF1b_D1.1.1"
"KR534250","AF1b_B1.3"
"KR534251","AF1b_A1.4"
"KR534252","AF1b_A1.4"
"KR534253","AF1b_B1.2.1"
"KR534254","AF1b_D1.1"
"KR534256","AF1b_B1.3"
"KR906734","AF1b_A1.4"
"KR906735","AF1b_A1.1"
"KR906736","AF1b_A1.1"
"KR906737","AF1b_B1"
"KR906738","AF1b_B1"
"KR906739","AF1b_A1.4"
"KR906740","AF1b_C1.1"
"KR906741","AF1b_C1"
"KR906742","AF1b_C1.1"
