"ID","N","gap","Length_before","Length_after","Year","cluster","previous","Country"
"AF483524",0,0,1353,1353,2002,"RAC-SK_A1","RAC-SK","United States"
"EU345002",0,0,1353,1353,2008,"RAC-SK_A1","RAC-SK","United States"
"EU345003",0,0,1353,1353,2008,"RAC-SK_A1","RAC-SK","United States"
"EU345004",0,0,1353,1353,2008,"RAC-SK_A1","RAC-SK","United States"
"FJ228483",0,6,1353,1347,2001,"RAC-SK_B1.1","RAC-SK","Mexico"
"FJ228484",0,3,1353,1350,2002,"RAC-SK_B1.1","RAC-SK","Mexico"
"FJ228485",0,6,1353,1347,1999,"RAC-SK_B1.1","RAC-SK","Mexico"
"GU991837",0,6,1353,1347,1968,"RAC-SK_A1","RAC-SK","United States"
"GU991838",0,6,1353,1347,2007,"RAC-SK_A1","RAC-SK","United States"
"GU991839",0,3,1353,1350,2009,"RAC-SK_A1","RAC-SK","United States"
"GU991840",0,3,1353,1350,2008,"RAC-SK_A1","RAC-SK","United States"
"GU991841",0,3,1353,1350,2008,"RAC-SK_A1","RAC-SK","United States"
"JQ513553",0,0,1353,1353,2002,"RAC-SK_B1.1","RAC-SK","Mexico"
"JX855962",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855963",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855964",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855965",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855966",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855967",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855968",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855969",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855970",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855971",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX855972",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX855973",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855974",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX855975",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855976",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX855977",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855978",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855979",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855980",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855981",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855982",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855983",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855984",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855985",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855986",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855987",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855988",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855989",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855990",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855991",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX855992",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX855993",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX855995",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX855999",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX856000",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX856001",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX856002",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX856003",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX856004",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX856005",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856006",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856007",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856008",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856009",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856010",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856011",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856012",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856013",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856014",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856015",0,6,1353,1347,2009,"RAC-SK_B1.1","RAC-SK","United States"
"JX856016",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
"JX856017",0,6,1353,1347,2009,"RAC-SK_A1.3.1","RAC-SK","United States"
"JX856018",0,6,1353,1347,2009,"RAC-SK_A1","RAC-SK","United States"
"JX856019",0,6,1353,1347,2009,"RAC-SK_A1","RAC-SK","United States"
"JX856020",0,6,1353,1347,2009,"RAC-SK_A1","RAC-SK","United States"
"JX856021",0,6,1353,1347,2009,"RAC-SK_A1","RAC-SK","United States"
"JX856022",0,6,1353,1347,2009,"RAC-SK_A1","RAC-SK","United States"
"JX856023",0,6,1353,1347,2009,"RAC-SK_A1.3","RAC-SK","United States"
"JX856024",0,6,1353,1347,2009,"RAC-SK_S1","RAC-SK","United States"
